tip,Continent
SRR28085239,Africa
PP065789.1,Africa
KX764644.1,Africa
OR644282.1,Africa
MN636843.1,Africa
AF409138.1,Africa
AF325528.1,Africa
MN072624.1,Africa
SRR27563728,Africa
SRR12021190,Africa
OM793609.1,Africa
NC_003027.1,Africa
MW631933.1,Africa
AF409137.1,Africa
MT007950.1,Africa
SRR28085235,Africa
MN636839.1,Africa
OM793605.1,Africa
KX764645.1,Africa
PP065788.1,Africa
SRR27563735,Africa
MW656252.1,Africa
OM793604.1,Africa
MW435866.1,Africa
SRR27563726,Africa
SRR27563734,Africa
MN636840.1,Africa
MN072628.1,Africa
OR644285.1,Africa
MN636838.1,Africa
OM793608.1,Africa
MN072619.1,Africa
MN636841.1,Africa
KX683219.1,Africa
OR644284.1,Africa
SRR27563731,Africa
MW167071.1,Africa
SRR27563732,Africa
SRR34490579,Africa
MN636842.1,Africa
OK318001.1,Africa
SRR28085238,Africa
MK441838.1,Africa
OR644283.1,Africa
OM793607.1,Africa
MW656253.1,Africa
SRR27563725,Africa
SRR12021191,Africa
SRR27563723,Africa
KX764643.1,Africa
SRR27563729,Africa
OM793606.1,Africa
MW732649.1,Asia
PX127682.1,Asia
SRR15145279_SRR15145280_Merged,Asia
OP985536.1,Asia
OK422492.1,Asia
OR232414.1,Asia
OR393173.1,Asia
SRR28085237,Asia
PP053747.1,Asia
PV167794.1,Asia
OQ253255.1,Asia
OM373209.1,Asia
OQ253251.1,Asia
SRR15145277_SRR15145278_Merged,Asia
KT438551.1,Asia
OP752701.1,Asia
OP297402.1,Asia
KX576657.1,Asia
OR520147.1,Asia
OR393172.1,Asia
OR983151.1,Asia
OR983152.1,Asia
PP145892.1,Asia
OR393167.1,Asia
OL752713.2,Asia
PV835012.1,Asia
MG000156.1,Asia
MW883897.1,Asia
OQ253252.1,Asia
OR393170.1,Asia
SRR15145275_SRR15145276_Merged,Asia
SRR27563727,Asia
MN072625.1,Asia
OQ253254.1,Asia
OK422494.1,Asia
PP979138.1,Asia
MN072623.1,Asia
PQ824704.1,Asia
OR393171.1,Asia
SRR28085240,Asia
PQ682461.1,Asia
SRR25461328,Asia
PQ682462.1,Asia
PP746705.1,Asia
PQ179265.1,Asia
SRR24474207,Asia
PP756497.1,Asia
MN072621.1,Asia
OQ606832.1,Asia
PV796583.1,Asia
OQ267778.1,Asia
OM984485.1,Asia
PP843160.1,Europe
MT130502.2,Europe
ON010590.1,Europe
OR134833.1,Europe
PQ014465.1,Europe
PQ727629.1,Europe
OM793603.1,Europe
AY077835.1,Europe
SRR26747384_SRR26747383_Merged,Europe
SRR11470182,Europe
MW020571.1,Europe
OQ434239.1,Europe
OR134845.1,Europe
SRR26747394_SRR26747395_Merged,Europe
SRR26747374_SRR26747375_Merged,Europe
PQ727631.1,Europe
SRR26747388_SRR26747389_Merged,Europe
OR134841.1,Europe
PQ727633.1,Europe
SRR26747364_SRR26747365_Merged,Europe
SRR26747398_SRR26747399_Merged,Europe
PP886236.1,Europe
OR134838.1,Europe
OQ434238.1,Europe
MW699032.1,Europe
OR134837.1,Europe
OQ434237.1,Europe
PV434148.1,Europe
PQ727625.1,Europe
PQ727628.1,Europe
MN642592.1,Europe
SRR26747368_SRR26747369_Merged,Europe
SRR26747366_SRR26747367_Merged,Europe
PP886238.1,Europe
OL542833.1,Europe
OR134839.1,Europe
OQ434236.1,Europe
OM530217.1,Europe
ON005067.1,Europe
SRR26747380_SRR26747379_Merged,Europe
SRR26747396_SRR26747397_Merged,Europe
SRR26747387_SRR26747376_Merged,Europe
SRR26283950,Europe
PQ727626.1,Europe
PQ727627.1,Europe
OR134846.1,Europe
ON961655.1,Europe
OR194148.1,Europe
OR134843.1,Europe
NC_004003.1,Europe
AY077833.1,Europe
OQ434235.1,Europe
