Name,Africa,Asia,Europe,Host_Cattle,Host_Sheep,Host_Goat,Host_Giraffe,Host_Wildlife,Vaccine,Wild,Recombinant,Ancestral_recombinant,Independent_recombinant,No_recombination,BAPS_cluster_1,BAPS_cluster_2,BAPS_cluster_3,BAPS_cluster_4,BAPS_cluster_5
SRR21590382,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
OR393177.1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
SRR26747380_SRR26747379_Merged,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
MN072620.1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
SRR29762742,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
PQ727633.1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
PQ727627.1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
OR134837.1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
SRR27563729,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
OP297402.1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
PV877838.1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
MZ577073.1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
PP145891.1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
AF409138.1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
PX127683.1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
OM984486.1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
PQ727630.1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
NC_004002.1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
OR393171.1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
OM793606.1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
KX764644.1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
SRR26747368_SRR26747369_Merged,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
OQ434239.1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
OM793607.1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
PQ727631.1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
MN072626.1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0
PP843160.1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
MN636840.1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
SRR26747378_SRR26747377_Merged,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
OR134833.1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
PQ472736.1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
PQ727628.1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
SRR26747394_SRR26747395_Merged,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
SRR28085238,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
OR134839.1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
MN636839.1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
SRR21590386,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
OQ253250.1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
MN072629.1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0
ON010590.1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
OQ434237.1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
OR393167.1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
SRR34490579,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
ON152411.1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
MN636843.1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
PQ824705.1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
OR347837.1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
OR134841.1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
OK422494.1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
MH893760.2,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
MW435866.1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
OR134849.1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
MH381810.1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
OR983147.1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
NC_003027.1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
MW167070.1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
MZ577074.1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
PQ510117.1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
OR644284.1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1
SRR28085239,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
OR393169.1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
KX576657.1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
PV835012.1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
MN636838.1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
OR983146.1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
SRR26747384_SRR26747383_Merged,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
SRR28085235,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
PQ179265.1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
ON961656.1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
PQ824704.1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
OR134847.1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
MH646674.1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
PQ510118.1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
OR393174.1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
OQ606832.1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
OR983148.1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
OR134836.1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
MN636841.1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
MT134042.1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
SRR26747398_SRR26747399_Merged,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
OQ267778.1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
AY077834.1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0
SRR26747390_SRR26747391_Merged,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
PV796583.1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
SRR25461324,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
SRR27563731,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
SRR11470182,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
OQ434238.1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
