Gene,Non-unique Gene name,Annotation,Number_pos_present_in,Number_neg_present_in,Number_pos_not_present_in,Number_neg_not_present_in,Sensitivity,Specificity,Odds_ratio,Naive_p,Bonferroni_p,Benjamini_H_p,Max_Pairwise_comparisons,Max_supporting_pairs,Max_opposing_pairs,Best_pairwise_comp_p,Worst_pairwise_comp_p,Empirical_p,Trait,net_pairs,direction,product,n_LSDV,n_SPPV,n_GTPV
OG0000155,,,0,48,52,190,0.0,79.83193277310924,0.0,4.565487904272696e-05,0.004337213509059,0.0026766403941565,7,0,7,0.015625,0.015625,0.0009990009990009,Africa,-7,کاهش,hypothetical protein,48,0,0
OG0000159,,,11,8,41,230,21.153846153846157,96.63865546218489,7.713414634146342,5.635032408750661e-05,0.0053532807883131,0.0026766403941565,10,8,4,0.109375,0.7539062500000002,0.0009990009990009,Africa,4,غنی‌شدگی,hypothetical protein,19,0,0
OG0000156,,,9,7,43,231,17.307692307692307,97.05882352941175,6.906976744186046,0.0004208731611507,0.0399829503093176,0.0099957375773294,9,6,5,0.5078125,1.0,0.0019980019980019,Africa,1,غنی‌شدگی,hypothetical protein,16,0,0
OG0000161,,,9,7,43,231,17.307692307692307,97.05882352941175,6.906976744186046,0.0004208731611507,0.0399829503093176,0.0099957375773294,9,7,5,0.1796875,1.0,0.0009990009990009,Africa,2,غنی‌شدگی,hypothetical protein,16,0,0
OG0000153,,,12,138,88,52,12.0,27.368421052631582,0.0513833992094861,4.5359129449814586e-24,4.309117297732385e-22,1.4363724325774618e-22,2,2,1,0.5,1.0,0.0329670329670329,Ancestral_recombinant,1,کاهش,LSDV134 variola virus B22R-like protein [Lumpy skin disease virus NI-2490],148,2,0
OG0000154,,,74,40,26,150,74.0,78.94736842105263,10.673076923076923,1.4944132430305225e-18,1.4196925808789963e-16,3.549231452197491e-17,2,1,2,0.5,1.0,0.0009990009990009,Ancestral_recombinant,-1,غنی‌شدگی,kelch-like protein [Lumpy skin disease virus NI-2490],114,0,0
OG0000150,,,92,94,8,96,92.0,50.526315789473685,11.74468085106383,3.609315343297531e-14,3.428849576132655e-12,6.857699152265312e-13,2,1,2,0.5,1.0,0.0009990009990009,Ancestral_recombinant,-1,غنی‌شدگی,LSDV153 hypothetical protein [Lumpy skin disease virus NI-2490],186,0,0
OG0000157,,,26,0,74,190,26.0,100.0,inf,8.506331068710295e-14,8.081014515274779e-12,1.3468357525457965e-12,2,2,0,0.5,0.5,0.0009990009990009,Ancestral_recombinant,2,غنی‌شدگی,kelch-like protein [Lumpy skin disease virus NI-2490],26,0,0
OG0000155,,,36,12,64,178,36.0,93.6842105263158,8.34375,4.944995748020493e-10,4.6977459606194695e-08,6.711065658027813e-09,2,2,1,0.5,1.0,0.0009990009990009,Ancestral_recombinant,1,غنی‌شدگی,hypothetical protein,48,0,0
OG0000002,,,95,142,5,48,95.0,25.26315789473684,6.422535211267606,9.781484807934183e-06,0.0009292410567537,8.447645970488613e-05,2,1,2,0.5,1.0,0.0009990009990009,Ancestral_recombinant,-1,غنی‌شدگی,Hypothetical protein LSDVgp155 [Lumpy skin disease virus NI-2490],227,10,0
OG0000003,,,100,166,0,24,100.0,12.63157894736842,inf,2.666864477302833e-05,0.0025335212534376,0.0002111267711198,1,1,0,1.0,1.0,0.0249750249750249,Ancestral_recombinant,1,غنی‌شدگی,LSDV026 hypothetical protein [Lumpy skin disease virus NI-2490],240,10,16
OG0000155,,,44,4,109,133,28.75816993464052,97.08029197080292,13.422018348623851,6.840827227140625e-10,6.498785865783595e-08,6.498785865783595e-08,15,12,4,0.03515625,0.1184692382812499,0.0059940059940059,Asia,8,غنی‌شدگی,hypothetical protein,48,0,0
OG0000157,,,26,0,127,137,16.99346405228758,100.0,inf,2.0936411846361063e-08,1.988959125404301e-06,9.944795627021504e-07,9,9,0,0.00390625,0.00390625,0.0029970029970029,Asia,9,غنی‌شدگی,kelch-like protein [Lumpy skin disease virus NI-2490],26,0,0
OG0000152,,,33,58,120,79,21.568627450980397,57.66423357664233,0.3745689655172414,0.0002172557304835,0.0206392943959402,0.005159823598985,10,5,9,0.0214843749999999,1.0,0.0029970029970029,Asia,-4,کاهش,LSDV154 putative ER-localized apoptosis regulator [Lumpy skin disease virus NI-2490],42,33,16
OG0000149,,,0,202,67,21,0.0,9.417040358744394,0.0,1.5039924168169356e-47,1.428792795976089e-45,1.428792795976089e-45,2,0,2,0.5,0.5,0.0019980019980019,BAPS_cluster_1,-2,کاهش,kelch-like protein [Lumpy skin disease virus NI-2490],152,34,16
OG0000153,,,0,150,67,73,0.0,32.73542600896861,0.0,1.2476062219472683e-26,1.185225910849905e-24,5.926129554249525e-25,2,0,2,0.5,0.5,0.0019980019980019,BAPS_cluster_1,-2,کاهش,LSDV134 variola virus B22R-like protein [Lumpy skin disease virus NI-2490],148,2,0
OG0000151,,,67,89,0,134,100.0,60.0896860986547,inf,3.130547828056525e-22,2.9740204366536985e-20,9.913401455512328e-21,2,2,0,0.5,0.5,0.0349650349650349,BAPS_cluster_1,2,غنی‌شدگی,LSDV134 variola virus B22R-like protein [Lumpy skin disease virus NI-2490],106,34,16
