"Gene","Non-unique Gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p","Max_Pairwise_comparisons","Max_supporting_pairs","Max_opposing_pairs","Best_pairwise_comp_p","Worst_pairwise_comp_p","Empirical_p"
"OG0000148","","","236","10","0","44","100.0","81.48148148148148","inf","8.941698566068795e-43","8.494613637765356e-41","8.494613637765356e-41","1","1","0","1.0","1.0","0.9375"
"OG0000146","","","236","16","0","38","100.0","70.37037037037037","inf","3.7404660432152593e-35","3.553442741054496e-33","1.776721370527248e-33","1","1","0","1.0","1.0","0.28125"
"OG0000147","","","236","20","0","34","100.0","62.96296296296296","inf","1.3494446533007483e-30","1.281972420635711e-28","4.273241402119036e-29","1","1","0","1.0","1.0","1.0"
"OG0000002","","","223","14","13","40","94.49152542372882","74.07407407407408","49.010989010989015","5.6498364074649e-26","5.367344587091656e-24","1.341836146772914e-24","2","1","2","0.5","1.0","0.1956521739130435"
"OG0000004","","","190","4","46","50","80.50847457627118","92.5925925925926","51.630434782608695","1.6625095829107333e-24","1.5793841037651965e-22","3.0449908832130924e-23","2","1","1","1.0","1.0","0.96875"
"OG0000152","","","42","49","194","5","17.796610169491526","9.25925925925926","0.022091310751104567","1.9231521367661636e-24","1.8269945299278555e-22","3.0449908832130924e-23","2","2","1","0.5","1.0","0.16666666666666666"
"OG0000150","","","182","4","54","50","77.11864406779661","92.5925925925926","42.129629629629626","3.487913564210885e-22","3.3135178860003405e-20","4.733596980000486e-21","2","1","1","1.0","1.0","0.78125"
"OG0000003","","","236","30","0","24","100.0","44.44444444444444","inf","1.8495860653224164e-20","1.7571067620562955e-18","2.1963834525703694e-19","1","1","0","1.0","1.0","0.054945054945054944"
"OG0000158","","","0","20","236","34","0.0","62.96296296296296","0.0","8.636387403147908e-17","8.204568032990514e-15","9.116186703322793e-16","1","0","1","1.0","1.0","0.08791208791208792"
"OG0000154","","","114","0","122","54","48.30508474576271","100.0","inf","6.046715850800637e-14","5.744380058260605e-12","5.744380058260604e-13","2","2","0","0.5","0.5","0.01098901098901099"
"OG0000153","","","144","6","92","48","61.016949152542374","88.88888888888889","12.521739130434783","8.067794268377067e-12","7.664404554958213e-10","6.967640504507466e-11","2","1","2","0.5","1.0","0.017982017982017984"
"OG0000151","","","106","50","130","4","44.91525423728814","7.4074074074074066","0.06523076923076923","2.158966527080671e-11","2.0510182007266373e-09","1.7091818339388643e-10","2","1","1","1.0","1.0","0.96875"
"OG0000149","","","148","54","88","0","62.71186440677966","0.0","0.0","3.6496177189132844e-10","3.46713683296762e-08","2.6670283330520155e-09","2","0","2","0.5","0.5","0.40625"
"OG0000144","","","236","44","0","10","100.0","18.51851851851852","inf","2.4147787877585734e-08","2.2940398483706448e-06","1.6385998916933176e-07","1","1","0","1.0","1.0","0.21875"
"OG0000141","","","236","47","0","7","100.0","12.962962962962962","inf","5.566100102578126e-06","0.000528779509744922","3.3048719359057625e-05","1","1","0","1.0","1.0","0.28125"
"OG0000170","","","0","7","236","47","0.0","87.03703703703704","0.0","5.566100102578126e-06","0.000528779509744922","3.3048719359057625e-05","1","0","1","1.0","1.0","0.18604651162790697"
"OG0000155","","","48","0","188","54","20.33898305084746","100.0","inf","2.5516227270834765e-05","0.0024240415907293028","0.00014259068180760603","2","2","0","0.5","0.5","0.25"
"OG0000167","","","4","7","232","47","1.694915254237288","87.03703703703704","0.11576354679802955","0.0009798250738486856","0.09308338201562513","0.005171299000868063","2","2","1","0.5","1.0","0.19148936170212766"
"OG0000157","","","26","0","210","54","11.016949152542372","100.0","inf","0.006466458370292126","0.614313545177752","0.03233229185146064","2","2","0","0.5","0.5","0.96875"
"OG0000001","","","203","53","33","1","86.01694915254238","1.8518518518518516","0.11606632361349342","0.008997381074256986","0.8547512020544137","0.04273756010272069","2","1","2","0.5","1.0","0.3125"
"OG0000159","","","19","0","217","54","8.050847457627118","100.0","inf","0.02969149118940717","1.0","0.13431865061874673","2","2","0","0.5","0.5","0.375"
"OG0000176","","","0","2","236","52","0.0","96.29629629629629","0.0","0.03414866960983045","1.0","0.14746016422426786","1","0","1","1.0","1.0","0.25"
"OG0000161","","","16","0","220","54","6.779661016949152","100.0","inf","0.049012996973561734","1.0","0.1862493884995346","2","2","0","0.5","0.5","0.5625"
"OG0000156","","","16","0","220","54","6.779661016949152","100.0","inf","0.049012996973561734","1.0","0.1862493884995346","2","2","0","0.5","0.5","0.25"
"OG0000160","","","16","0","220","54","6.779661016949152","100.0","inf","0.049012996973561734","1.0","0.1862493884995346","2","2","0","0.5","0.5","0.40625"
