"Gene","Non-unique Gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p","Max_Pairwise_comparisons","Max_supporting_pairs","Max_opposing_pairs","Best_pairwise_comp_p","Worst_pairwise_comp_p","Empirical_p"
"OG0000147","","","0","256","34","0","0.0","0.0","0.0","4.198810515391867e-45","3.988869989622274e-43","3.988869989622274e-43","1","0","1","1.0","1.0","1.0"
"OG0000146","","","0","252","34","4","0.0","1.5625","0.0","3.099351981936435e-40","2.944384382839613e-38","1.4721921914198064e-38","1","0","1","1.0","1.0","0.20588235294117646"
"OG0000148","","","0","246","34","10","0.0","3.90625","0.0","1.0418327050853093e-35","9.897410698310438e-34","3.2991368994368126e-34","1","0","1","1.0","1.0","0.8125"
"OG0000003","","","10","256","24","0","29.411764705882355","0.0","0.0","1.729092269846267e-27","1.6426376563539534e-25","4.1065941408848836e-26","1","0","1","1.0","1.0","0.04795204795204795"
"OG0000158","","","20","0","14","256","58.82352941176471","100.0","inf","3.7405455664621174e-22","3.5535182881390113e-20","7.107036576278022e-21","1","1","0","1.0","1.0","0.058941058941058944"
"OG0000004","","","0","194","34","62","0.0","24.21875","0.0","4.481629481705892e-19","4.257548007620597e-17","7.095913346034328e-18","1","0","1","1.0","1.0","0.008991008991008992"
"OG0000152","","","33","58","1","198","97.05882352941177","77.34375","112.65517241379311","5.5822114767341854e-18","5.303100902897476e-16","7.57585843271068e-17","1","1","1","1.0","1.0","0.000999000999000999"
"OG0000150","","","0","186","34","70","0.0","27.34375","0.0","1.222791470723453e-17","1.1616518971872803e-15","1.4520648714841003e-16","1","0","1","1.0","1.0","0.000999000999000999"
"OG0000002","","","10","227","24","29","29.411764705882355","11.328125","0.05323054331864904","4.379392607764939e-13","4.160422977376692e-11","4.6226921970852135e-12","1","1","1","1.0","1.0","0.10989010989010989"
"OG0000151","","","34","122","0","134","100.0","52.34375","inf","1.2385096458928427e-10","1.1765841635982006e-08","1.1765841635982005e-09","1","1","0","1.0","1.0","0.012987012987012988"
"OG0000153","","","2","148","32","108","5.88235294117647","42.1875","0.04560810810810811","2.8917265562750327e-09","2.747140228461281e-07","2.4974002076920736e-08","1","1","1","1.0","1.0","0.003996003996003996"
"OG0000154","","","0","114","34","142","0.0","55.46875","0.0","1.664034602247926e-08","1.5808328721355295e-06","1.3173607267796078e-07","1","0","1","1.0","1.0","0.005994005994005994"
"OG0000149","","","34","168","0","88","100.0","34.375","inf","3.6701258558939985e-06","0.00034866195630992985","2.6820150485379218e-05","1","1","0","1.0","1.0","0.34375"
"OG0000167","","","7","4","27","252","20.588235294117645","98.4375","16.333333333333332","3.9334379044245264e-05","0.0037367660092033","0.00026691185780023573","1","1","1","1.0","1.0","0.000999000999000999"
"OG0000155","","","0","48","34","208","0.0","81.25","0.0","0.002364115422405005","0.22459096512847548","0.014972731008565032","1","0","1","1.0","1.0","0.18181818181818182"
"OG0000182","","","2","1","32","255","5.88235294117647","99.609375","15.9375","0.03718728870860243","1.0","0.20787063696060368","1","1","1","1.0","1.0","0.026973026973026972"
"OG0000142","","","31","252","3","4","91.17647058823529","1.5625","0.164021164021164","0.037197903456108024","1.0","0.20787063696060368","1","1","1","1.0","1.0","0.6875"
