"Gene","Non-unique Gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p","Max_Pairwise_comparisons","Max_supporting_pairs","Max_opposing_pairs","Best_pairwise_comp_p","Worst_pairwise_comp_p","Empirical_p"
"OG0000151","","","99","57","1","133","99.0","70.0","231.0","4.6029016302175706e-35","4.3727565487066923e-33","4.3727565487066923e-33","2","1","1","1.0","1.0","0.78125"
"OG0000149","","","25","177","75","13","25.0","6.842105263157896","0.02448210922787194","1.0858324964182446e-33","1.0315408715973324e-31","5.157704357986662e-32","2","2","1","0.5","1.0","0.08891108891108891"
"OG0000153","","","12","138","88","52","12.0","27.368421052631582","0.05138339920948617","4.535912944981458e-24","4.309117297732385e-22","1.4363724325774618e-22","2","2","1","0.5","1.0","0.03296703296703297"
"OG0000154","","","74","40","26","150","74.0","78.94736842105263","10.673076923076923","1.4944132430305223e-18","1.4196925808789963e-16","3.549231452197491e-17","2","1","2","0.5","1.0","0.000999000999000999"
"OG0000150","","","92","94","8","96","92.0","50.526315789473685","11.74468085106383","3.6093153432975314e-14","3.428849576132655e-12","6.857699152265311e-13","2","1","2","0.5","1.0","0.000999000999000999"
"OG0000157","","","26","0","74","190","26.0","100.0","inf","8.506331068710294e-14","8.081014515274779e-12","1.3468357525457965e-12","2","2","0","0.5","0.5","0.000999000999000999"
"OG0000155","","","36","12","64","178","36.0","93.6842105263158","8.34375","4.944995748020494e-10","4.6977459606194695e-08","6.711065658027813e-09","2","2","1","0.5","1.0","0.000999000999000999"
"OG0000148","","","100","146","0","44","100.0","23.157894736842106","inf","1.479067040195946e-09","1.4051136881861488e-07","1.756392110232686e-08","1","1","0","1.0","1.0","0.3125"
"OG0000146","","","100","152","0","38","100.0","20.0","inf","4.326356558694343e-08","4.110038730759625e-06","4.566709700844028e-07","1","1","0","1.0","1.0","0.71875"
"OG0000147","","","100","156","0","34","100.0","17.894736842105264","inf","3.0498254133345456e-07","2.8973341426678185e-05","2.8973341426678183e-06","1","1","0","1.0","1.0","1.0"
"OG0000002","","","95","142","5","48","95.0","25.263157894736842","6.422535211267606","9.781484807934183e-06","0.0009292410567537475","8.447645970488613e-05","2","1","2","0.5","1.0","0.000999000999000999"
"OG0000003","","","100","166","0","24","100.0","12.631578947368421","inf","2.6668644773028334e-05","0.002533521253437692","0.00021112677111980764","1","1","0","1.0","1.0","0.024975024975024976"
"OG0000158","","","0","20","100","170","0.0","89.47368421052632","0.0","0.00030173259549355483","0.028664596571887708","0.002204968967068285","1","0","1","1.0","1.0","0.12529002320185614"
"OG0000145","","","91","187","9","3","91.0","1.5789473684210527","0.1622103386809269","0.004226987219467414","0.4015637858494043","0.028683127560671734","2","1","1","1.0","1.0","0.96875"
"OG0000144","","","100","180","0","10","100.0","5.263157894736842","inf","0.017152830975451335","1.0","0.10863459617785846","1","1","0","1.0","1.0","0.375"
"OG0000167","","","0","11","100","179","0.0","94.21052631578948","0.0","0.018404041402937166","1.0","0.10927399582993942","1","0","1","1.0","1.0","0.18"
"OG0000159","","","2","17","98","173","2.0","91.05263157894737","0.20768307322929172","0.024093613136905785","1.0","0.13464077929447352","2","1","1","1.0","1.0","0.40625"
