"Gene","Non-unique Gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p","Max_Pairwise_comparisons","Max_supporting_pairs","Max_opposing_pairs","Best_pairwise_comp_p","Worst_pairwise_comp_p","Empirical_p"
"OG0000149","","","0","202","67","21","0.0","9.417040358744394","0.0","1.5039924168169356e-47","1.4287927959760887e-45","1.4287927959760887e-45","2","0","2","0.5","0.5","0.001998001998001998"
"OG0000153","","","0","150","67","73","0.0","32.73542600896861","0.0","1.2476062219472683e-26","1.185225910849905e-24","5.926129554249525e-25","2","0","2","0.5","0.5","0.001998001998001998"
"OG0000151","","","67","89","0","134","100.0","60.0896860986547","inf","3.1305478280565246e-22","2.9740204366536985e-20","9.913401455512328e-21","2","2","0","0.5","0.5","0.03496503496503497"
"OG0000157","","","26","0","41","223","38.80597014925373","100.0","inf","3.2870715300527114e-19","3.122717953550076e-17","7.80679488387519e-18","2","2","0","0.5","0.5","0.000999000999000999"
"OG0000155","","","36","12","31","211","53.73134328358209","94.61883408071749","20.419354838709676","1.4273769639524963e-17","1.3560081157548715e-15","2.712016231509743e-16","2","2","1","0.5","1.0","0.000999000999000999"
"OG0000004","","","63","131","4","92","94.02985074626866","41.25560538116592","11.061068702290076","6.3989413521675104e-09","6.078994284559134e-07","1.013165714093189e-07","2","2","2","0.5","0.5","0.027972027972027972"
"OG0000150","","","61","125","6","98","91.04477611940298","43.946188340807176","7.970666666666666","3.363284340937496e-08","3.1951201238906212e-06","4.564457319843745e-07","2","2","2","0.5","0.5","0.000999000999000999"
"OG0000148","","","67","179","0","44","100.0","19.730941704035875","inf","6.863593505632417e-06","0.0006520413830350796","8.150517287938495e-05","1","1","0","1.0","1.0","0.46875"
"OG0000146","","","67","185","0","38","100.0","17.040358744394617","inf","3.877153327920671e-05","0.003683295661524637","0.00040925507350273745","1","1","0","1.0","1.0","0.65625"
"OG0000154","","","41","73","26","150","61.19402985074627","67.2645739910314","3.2402528977871445","5.2320968710750166e-05","0.004970492027521266","0.0004970492027521266","2","1","2","0.5","1.0","0.000999000999000999"
"OG0000147","","","67","189","0","34","100.0","15.246636771300448","inf","0.00011991875438518479","0.011392281666592554","0.0010356619696902322","1","1","0","1.0","1.0","1.0"
"OG0000145","","","58","220","9","3","86.56716417910447","1.345291479820628","0.08787878787878788","0.00014390262163381778","0.013670749055212688","0.0011392290879343907","2","1","1","1.0","1.0","0.9375"
"OG0000152","","","9","82","58","141","13.432835820895523","63.22869955156951","0.26682085786375104","0.00026413575444163815","0.025092896671955623","0.0019302228209196633","2","2","2","0.5","0.5","0.000999000999000999"
"OG0000003","","","67","199","0","24","100.0","10.762331838565023","inf","0.0018940417620343841","0.1799339673932665","0.012675941551635027","1","1","0","1.0","1.0","0.01898101898101898"
"OG0000002","","","63","174","4","49","94.02985074626866","21.973094170403588","4.435344827586207","0.00200146445552132","0.1901391232745254","0.012675941551635027","2","2","2","0.5","0.5","0.002997002997002997"
"OG0000158","","","0","20","67","203","0.0","91.03139013452915","0.0","0.005601536546242855","0.5321459718930712","0.03325912324331695","1","0","1","1.0","1.0","0.11188811188811189"
"OG0000177","","","3","1","64","222","4.477611940298507","99.55156950672645","10.40625","0.039666123709666504","1.0","0.22166363249519516","2","1","1","1.0","1.0","0.28125"
