"Gene","Non-unique Gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p","Max_Pairwise_comparisons","Max_supporting_pairs","Max_opposing_pairs","Best_pairwise_comp_p","Worst_pairwise_comp_p","Empirical_p"
"OG0000002","","","0","237","16","37","0.0","13.503649635036496","0.0","1.8915485426980586e-13","1.7969711155631556e-11","1.7969711155631556e-11","1","0","1","1.0","1.0","0.000999000999000999"
"OG0000141","","","9","274","7","0","56.25","0.0","0.0","3.5954818648508755e-10","3.4157077716083315e-08","1.1385692572027772e-08","1","0","1","1.0","1.0","0.024975024975024976"
"OG0000170","","","7","0","9","274","43.75","100.0","inf","3.5954818648508755e-10","3.4157077716083315e-08","1.1385692572027772e-08","1","1","0","1.0","1.0","0.029970029970029972"
"OG0000144","","","8","272","8","2","50.0","0.7299270072992701","0.007352941176470588","4.888882619501385e-10","4.644438488526316e-08","1.161109622131579e-08","1","1","1","1.0","1.0","0.6875"
"OG0000152","","","16","75","0","199","100.0","72.62773722627736","inf","3.3189106497608673e-09","3.152965117272824e-07","6.305930234545648e-08","1","1","0","1.0","1.0","0.001998001998001998"
"OG0000004","","","0","194","16","80","0.0","29.1970802919708","0.0","8.43865107936011e-09","8.016718525392104e-07","1.3361197542320173e-07","1","0","1","1.0","1.0","0.000999000999000999"
"OG0000150","","","0","186","16","88","0.0","32.11678832116788","0.0","3.381602787080752e-08","3.2125226477267147e-06","4.589318068181021e-07","1","0","1","1.0","1.0","0.000999000999000999"
"OG0000153","","","0","150","16","124","0.0","45.25547445255474","0.0","5.4434501025448515e-06","0.0005171277597417609","6.464096996772011e-05","1","0","1","1.0","1.0","0.001998001998001998"
"OG0000148","","","6","240","10","34","37.5","12.408759124087592","0.085","9.898006121810364e-06","0.0009403105815719846","0.00010447895350799828","1","1","1","1.0","1.0","0.59375"
"OG0000151","","","16","140","0","134","100.0","48.9051094890511","inf","3.638984698460526e-05","0.0034570354635375","0.00034570354635375","1","1","0","1.0","1.0","0.002997002997002997"
"OG0000154","","","0","114","16","160","0.0","58.3941605839416","0.0","0.0003218250797693328","0.03057338257808662","0.0027793984161896927","1","0","1","1.0","1.0","0.011988011988011988"
"OG0000176","","","2","0","14","274","12.5","100.0","inf","0.002863620093067543","0.2720439088414166","0.022670325736784718","1","1","0","1.0","1.0","0.04695304695304695"
"OG0000149","","","16","186","0","88","100.0","32.11678832116788","inf","0.0038293329527125846","0.36378663050769555","0.02798358696213043","1","1","0","1.0","1.0","0.06293706293706294"
