tip,Country,Continent
AF325528.1,Kenya,Africa
AF409137.1,South Africa,Africa
AF409138.1,South Africa,Africa
AY077832.1,Turkey,Asia
AY077833.1,Kazakhstan,Europe
AY077834.1,Russia,Europe
AY077835.1,Kazakhstan,Europe
AY077836.1,Kazakhstan,Europe
KC951854.1,China,Asia
KT438550.1,China,Asia
KT438551.1,China,Asia
KX576657.1,Iran,Asia
KX683219.1,Kenya,Africa
KX764643.1,South Africa,Africa
KX764644.1,South Africa,Africa
KX764645.1,South Africa,Africa
KX894508.1,Israel,Asia
KY702007.1,Serbia,Europe
KY829023.3,Greece,Europe
MG000156.1,India,Asia
MG972412.1,Croatia,Europe
MH381810.1,China,Asia
MH646674.1,Russia,Europe
MH893760.2,Russia,Europe
MK441838.1,South Africa,Africa
MN072619.1,Kenya,Africa
MN072620.1,India,Asia
MN072621.1,Viet Nam,Asia
MN072622.1,Turkey,Asia
MN072623.1,Oman,Asia
MN072624.1,Sudan,Africa
MN072625.1,Yemen,Asia
MN072626.1,Iraq,Asia
MN072627.1,Saudi Arabia,Asia
MN072628.1,Nigeria,Africa
MN072629.1,Turkey,Asia
MN072630.1,Saudi Arabia,Asia
MN072631.1,Turkey,Asia
MN636838.1,South Africa,Africa
MN636839.1,South Africa,Africa
MN636840.1,South Africa,Africa
MN636841.1,South Africa,Africa
MN636842.1,South Africa,Africa
MN636843.1,South Africa,Africa
MN642592.1,Kazakhstan,Europe
MN995838.1,Turkey,Asia
MT007950.1,Namibia,Africa
MT130502.2,Kazakhstan,Europe
MT134042.1,Russia,Europe
MT137384.1,India,Asia
MT643825.1,Bulgaria,Europe
MT992618.1,Kazakhstan,Europe
MW020570.1,Germany,Europe
MW020571.1,Germany,Europe
MW030512.1,Kazakhstan,Europe
MW167070.1,India,Asia
MW167071.1,Egypt,Africa
MW355944.1,China,Asia
MW435866.1,South Africa,Africa
MW631933.1,Morocco,Africa
MW656252.1,South Africa,Africa
MW656253.1,South Africa,Africa
MW699032.1,Russia,Europe
MW732649.1,Hong Kong,Asia
MW883897.1,India,Asia
MZ577073.1,Viet Nam,Asia
MZ577074.1,Viet Nam,Asia
MZ577075.1,Viet Nam,Asia
MZ577076.1,Viet Nam,Asia
NC_003027.1,Kenya,Africa
NC_004002.1,Turkey,Asia
NC_004003.1,Kazakhstan,Europe
OK318001.1,Nigeria,Africa
OK422492.1,India,Asia
OK422493.1,India,Asia
OK422494.1,India,Asia
OL542833.1,Russia,Europe
OL752713.2,Taiwan,Asia
OM033705.1,Thailand,Asia
OM105589.1,China,Asia
OM373209.1,China,Asia
OM530217.1,Russia,Europe
