tip,Continent
OM793608.1,Africa
SRR27563723,Africa
NC_003027.1,Africa
MT007950.1,Africa
MN072619.1,Africa
MN636838.1,Africa
SRR27563729,Africa
AF325528.1,Africa
MW656252.1,Africa
OR644283.1,Africa
SRR34490579,Africa
SRR12021191,Africa
KX764644.1,Africa
SRR27563732,Africa
PP065788.1,Africa
AF409138.1,Africa
OK318001.1,Africa
MN072628.1,Africa
OM793607.1,Africa
OM793606.1,Africa
OR644285.1,Africa
SRR28085239,Africa
MK441838.1,Africa
AF409137.1,Africa
KX683219.1,Africa
KX764643.1,Africa
MN636843.1,Africa
MW167071.1,Africa
PP065789.1,Africa
MW656253.1,Africa
MN636839.1,Africa
SRR27563728,Africa
MN072624.1,Africa
KX764645.1,Africa
SRR27563726,Africa
MN636840.1,Africa
SRR28085238,Africa
SRR27563725,Africa
OM793605.1,Africa
MW631933.1,Africa
SRR12021190,Africa
OM793604.1,Africa
OM793609.1,Africa
SRR27563731,Africa
MN636841.1,Africa
MW435866.1,Africa
SRR27563735,Africa
SRR28085235,Africa
SRR27563734,Africa
OR644284.1,Africa
MN636842.1,Africa
OR644282.1,Africa
MG000156.1,Asia
OQ267778.1,Asia
PQ472736.1,Asia
NC_004002.1,Asia
AY077832.1,Asia
OK422494.1,Asia
OP985536.1,Asia
OQ200493.1,Asia
OR393178.1,Asia
KT438550.1,Asia
MW355944.1,Asia
OM105589.1,Asia
SRR25046328,Asia
KX576657.1,Asia
PX127682.1,Asia
SRR25461328,Asia
PX127681.1,Asia
SRR27563730,Asia
PQ201927.1,Asia
MN072631.1,Asia
PP756497.1,Asia
OP922506.1,Asia
MW883897.1,Asia
OM803092.1,Asia
OP508345.1,Asia
MN072622.1,Asia
SRR29762742,Asia
SRR25461327,Asia
OR347835.1,Asia
OR735987.1,Asia
OR393171.1,Asia
PQ510117.1,Asia
MT137384.1,Asia
OR983151.1,Asia
PV835012.1,Asia
OR983150.1,Asia
OR347837.1,Asia
SRR25046331,Asia
MN072629.1,Asia
PQ682461.1,Asia
OR983146.1,Asia
SRR27563727,Asia
OK422493.1,Asia
MW167070.1,Asia
OR393172.1,Asia
OQ555660.1,Asia
KX894508.1,Asia
PQ824707.1,Asia
OP688128.1,Asia
OR567413.1,Asia
OQ606832.1,Asia
OR393169.1,Asia
SRR26747368_SRR26747369_Merged,Europe
MT134042.1,Europe
OR134843.1,Europe
MW020570.1,Europe
SRR26747378_SRR26747377_Merged,Europe
OR134845.1,Europe
PQ014465.1,Europe
ON961656.1,Europe
OR194148.1,Europe
ON961655.1,Europe
SRR26747374_SRR26747375_Merged,Europe
AY077835.1,Europe
OR134847.1,Europe
OR134841.1,Europe
AY077833.1,Europe
PP886238.1,Europe
SRR26747390_SRR26747391_Merged,Europe
ON961657.1,Europe
OQ434235.1,Europe
PP886239.1,Europe
OR134833.1,Europe
OR134840.1,Europe
PP843160.1,Europe
KY829023.3,Europe
OL542833.1,Europe
OR134839.1,Europe
NC_004003.1,Europe
MG972412.1,Europe
OR134832.1,Europe
OR134849.1,Europe
AY077836.1,Europe
AY077834.1,Europe
ON010590.1,Europe
OR134848.1,Europe
OR134834.1,Europe
PV434148.1,Europe
OQ434238.1,Europe
OM793603.1,Europe
OR134844.1,Europe
MW020571.1,Europe
OR134835.1,Europe
KY702007.1,Europe
SRR26747382_SRR26747381_Merged,Europe
PQ727630.1,Europe
SRR11470182,Europe
SRR26747386_SRR26747385_Merged,Europe
SRR26747380_SRR26747379_Merged,Europe
OQ434239.1,Europe
ON005067.1,Europe
SRR26283950,Europe
SRR26747394_SRR26747395_Merged,Europe
MH893760.2,Europe
