Gene,Non-unique Gene name,Annotation,Number_pos_present_in,Number_neg_present_in,Number_pos_not_present_in,Number_neg_not_present_in,Sensitivity,Specificity,Odds_ratio,Naive_p,Bonferroni_p,Benjamini_H_p,Max_Pairwise_comparisons,Max_supporting_pairs,Max_opposing_pairs,Best_pairwise_comp_p,Worst_pairwise_comp_p,Empirical_p,Trait
OG0000159,,,11,8,41,230,21.153846153846157,96.63865546218489,7.713414634146342,5.635032408750661e-05,0.0053532807883131,0.0026766403941565,5,4,2,0.375,1.0,0.0449550449550449,Africa
OG0000154,,,74,40,26,150,74.0,78.94736842105263,10.673076923076923,1.4944132430305225e-18,1.4196925808789963e-16,3.549231452197491e-17,5,5,2,0.0625,1.0,0.0039960039960039,Ancestral_recombinant
OG0000155,,,44,4,109,133,28.75816993464052,97.08029197080292,13.422018348623851,6.840827227140625e-10,6.498785865783595e-08,6.498785865783595e-08,9,9,3,0.00390625,0.5078125,0.0259740259740259,Asia
OG0000149,,,0,202,67,21,0.0,9.417040358744394,0.0,1.5039924168169356e-47,1.428792795976089e-45,1.428792795976089e-45,3,0,3,0.25,0.25,0.0059940059940059,BAPS_cluster_1
OG0000153,,,0,150,67,73,0.0,32.73542600896861,0.0,1.2476062219472683e-26,1.185225910849905e-24,5.926129554249525e-25,4,0,4,0.125,0.125,0.0189810189810189,BAPS_cluster_1
OG0000151,,,67,89,0,134,100.0,60.0896860986547,inf,3.130547828056525e-22,2.9740204366536985e-20,9.913401455512328e-21,3,3,0,0.25,0.25,0.0049950049950049,BAPS_cluster_1
OG0000150,,,61,125,6,98,91.04477611940298,43.946188340807176,7.970666666666666,3.363284340937496e-08,3.195120123890621e-06,4.564457319843745e-07,5,4,3,0.375,1.0,0.0489510489510489,BAPS_cluster_1
OG0000154,,,41,73,26,150,61.19402985074627,67.2645739910314,3.2402528977871445,5.2320968710750166e-05,0.0049704920275212,0.0004970492027521,3,3,2,0.25,1.0,0.0009990009990009,BAPS_cluster_1
OG0000003,,,10,256,24,0,29.411764705882355,0.0,0.0,1.729092269846267e-27,1.6426376563539534e-25,4.1065941408848836e-26,1,0,1,1.0,1.0,0.0459540459540459,BAPS_cluster_2
OG0000004,,,0,194,34,62,0.0,24.21875,0.0,4.481629481705892e-19,4.2575480076205967e-17,7.095913346034328e-18,1,0,1,1.0,1.0,0.0089910089910089,BAPS_cluster_2
OG0000152,,,33,58,1,198,97.05882352941175,77.34375,112.65517241379312,5.582211476734186e-18,5.303100902897476e-16,7.57585843271068e-17,1,1,1,1.0,1.0,0.0009990009990009,BAPS_cluster_2
OG0000150,,,0,186,34,70,0.0,27.34375,0.0,1.222791470723453e-17,1.1616518971872805e-15,1.4520648714841003e-16,1,0,1,1.0,1.0,0.0009990009990009,BAPS_cluster_2
OG0000151,,,34,122,0,134,100.0,52.34375,inf,1.2385096458928427e-10,1.1765841635982006e-08,1.1765841635982003e-09,1,1,0,1.0,1.0,0.0099900099900099,BAPS_cluster_2
OG0000153,,,2,148,32,108,5.88235294117647,42.1875,0.0456081081081081,2.8917265562750327e-09,2.747140228461281e-07,2.4974002076920736e-08,1,1,1,1.0,1.0,0.0019980019980019,BAPS_cluster_2
OG0000154,,,0,114,34,142,0.0,55.46875,0.0,1.6640346022479262e-08,1.5808328721355295e-06,1.3173607267796078e-07,1,0,1,1.0,1.0,0.0039960039960039,BAPS_cluster_2
OG0000167,,,7,4,27,252,20.588235294117645,98.4375,16.333333333333332,3.9334379044245264e-05,0.0037367660092033,0.0002669118578002,1,1,1,1.0,1.0,0.0009990009990009,BAPS_cluster_2
OG0000141,,,9,274,7,0,56.25,0.0,0.0,3.5954818648508755e-10,3.4157077716083315e-08,1.1385692572027772e-08,1,0,1,1.0,1.0,0.0219780219780219,BAPS_cluster_3
OG0000170,,,7,0,9,274,43.75,100.0,inf,3.5954818648508755e-10,3.4157077716083315e-08,1.1385692572027772e-08,1,1,0,1.0,1.0,0.0189810189810189,BAPS_cluster_3
OG0000152,,,16,75,0,199,100.0,72.62773722627736,inf,3.3189106497608673e-09,3.152965117272824e-07,6.305930234545649e-08,1,1,0,1.0,1.0,0.0009990009990009,BAPS_cluster_3
OG0000004,,,0,194,16,80,0.0,29.1970802919708,0.0,8.43865107936011e-09,8.016718525392104e-07,1.3361197542320173e-07,1,0,1,1.0,1.0,0.0089910089910089,BAPS_cluster_3
OG0000150,,,0,186,16,88,0.0,32.11678832116788,0.0,3.381602787080752e-08,3.2125226477267147e-06,4.589318068181021e-07,1,0,1,1.0,1.0,0.0009990009990009,BAPS_cluster_3
OG0000153,,,0,150,16,124,0.0,45.25547445255474,0.0,5.443450102544852e-06,0.0005171277597417,6.464096996772011e-05,1,0,1,1.0,1.0,0.0229770229770229,BAPS_cluster_3
OG0000151,,,16,140,0,134,100.0,48.9051094890511,inf,3.638984698460526e-05,0.0034570354635375,0.0003457035463537,1,1,0,1.0,1.0,0.0179820179820179,BAPS_cluster_3
OG0000154,,,0,114,16,160,0.0,58.3941605839416,0.0,0.0003218250797693,0.0305733825780866,0.0027793984161896,1,0,1,1.0,1.0,0.0239760239760239,BAPS_cluster_3
OG0000154,,,34,80,0,176,100.0,68.75,inf,5.054473114565996e-16,4.801749458837695e-14,4.801749458837695e-14,4,4,0,0.125,0.125,0.0009990009990009,BAPS_cluster_4
OG0000155,,,12,36,127,115,8.633093525179856,76.15894039735099,0.3018372703412073,0.0004770112787101,0.0453160714774636,0.0030210714318309,5,5,1,0.0625,0.375,0.0209790209790209,BAPS_cluster_5
