Gene,Non-unique Gene name,Annotation,Number_pos_present_in,Number_neg_present_in,Number_pos_not_present_in,Number_neg_not_present_in,Sensitivity,Specificity,Odds_ratio,Naive_p,Bonferroni_p,Benjamini_H_p,Max_Pairwise_comparisons,Max_supporting_pairs,Max_opposing_pairs,Best_pairwise_comp_p,Worst_pairwise_comp_p,Empirical_p,Trait,direction
OG0000159,,,11,8,41,230,21.153846153846157,96.63865546218489,7.713414634146342,5.635032408750661e-05,0.0053532807883131,0.0026766403941565,10,8,4,0.109375,0.7539062500000002,0.0009990009990009,Africa,غیاب
OG0000156,,,9,7,43,231,17.307692307692307,97.05882352941175,6.906976744186046,0.0004208731611507,0.0399829503093176,0.0099957375773294,9,6,5,0.5078125,1.0,0.0019980019980019,Africa,غیاب
OG0000161,,,9,7,43,231,17.307692307692307,97.05882352941175,6.906976744186046,0.0004208731611507,0.0399829503093176,0.0099957375773294,9,7,5,0.1796875,1.0,0.0009990009990009,Africa,غیاب
OG0000155,,,44,4,109,133,28.75816993464052,97.08029197080292,13.422018348623851,6.840827227140625e-10,6.498785865783595e-08,6.498785865783595e-08,15,12,4,0.03515625,0.1184692382812499,0.0059940059940059,Asia,غیاب
OG0000157,,,26,0,127,137,16.99346405228758,100.0,inf,2.0936411846361063e-08,1.988959125404301e-06,9.944795627021504e-07,9,9,0,0.00390625,0.00390625,0.0029970029970029,Asia,غیاب
OG0000152,,,33,58,120,79,21.568627450980397,57.66423357664233,0.3745689655172414,0.0002172557304835,0.0206392943959402,0.005159823598985,10,5,9,0.0214843749999999,1.0,0.0029970029970029,Asia,غیاب
OG0000155,,,4,44,81,161,4.705882352941177,78.53658536585367,0.180695847362514,0.0002253562410186,0.0214088428967752,0.0071362809655917,13,4,10,0.09228515625,0.2668457031249998,0.0389610389610389,Europe,غیاب
OG0000154,,,20,94,65,111,23.52941176470588,54.14634146341464,0.3633387888707037,0.0003607921153906,0.0342752509621164,0.0085688127405291,10,9,2,0.0214843749999999,0.109375,0.0139860139860139,Europe,غیاب
OG0000004,,,3,191,17,79,15.0,29.259259259259256,0.0729904527255928,1.0752014312503337e-06,0.0001021441359687,0.0001021441359687,7,3,4,0.9999999999999998,0.9999999999999998,0.0199800199800199,Vaccine,غیاب
OG0000152,,,14,77,6,193,70.0,71.48148148148148,5.848484848484849,0.0002707481325965,0.0257210725966684,0.0128605362983342,5,4,2,0.375,1.0,0.0179820179820179,Vaccine,حضور
OG0000004,,,184,10,76,20,70.76923076923077,66.66666666666666,4.842105263157895,0.0001211797152745,0.0115120729510808,0.0057560364755404,11,6,6,0.9999999999999996,0.9999999999999996,0.0239760239760239,Wild,حضور
