"Gene","Non-unique Gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p","Max_Pairwise_comparisons","Max_supporting_pairs","Max_opposing_pairs","Best_pairwise_comp_p","Worst_pairwise_comp_p","Empirical_p"
"OG0000155","","","0","48","52","190","0.0","79.83193277310924","0.0","4.5654879042726956e-05","0.004337213509059061","0.002676640394156564","7","0","7","0.015625","0.015625","0.15625"
"OG0000159","","","11","8","41","230","21.153846153846153","96.63865546218487","7.713414634146342","5.635032408750661e-05","0.005353280788313128","0.002676640394156564","5","4","2","0.375","1.0","0.04495504495504495"
"OG0000156","","","9","7","43","231","17.307692307692307","97.05882352941177","6.906976744186046","0.00042087316115071185","0.03998295030931762","0.009995737577329406","5","3","3","1.0","1.0","0.34375"
"OG0000161","","","9","7","43","231","17.307692307692307","97.05882352941177","6.906976744186046","0.00042087316115071185","0.03998295030931762","0.009995737577329406","3","2","2","1.0","1.0","0.625"
"OG0000162","","","8","6","44","232","15.384615384615385","97.47899159663865","7.03030303030303","0.0008176916479083041","0.07768070655128889","0.015536141310257778","5","4","2","0.375","1.0","0.03396603396603397"
"OG0000168","","","6","3","46","235","11.538461538461538","98.73949579831933","10.217391304347826","0.001392907365992733","0.13232619976930962","0.02205436662821827","5","3","2","1.0","1.0","0.21875"
"OG0000160","","","8","8","44","230","15.384615384615385","96.63865546218487","5.2272727272727275","0.002594748349475772","0.24650109320019836","0.02787354065084809","3","2","3","0.25","1.0","0.40625"
"OG0000149","","","45","157","7","81","86.53846153846155","34.03361344537815","3.316651501364877","0.0027139242569687","0.25782280441202654","0.02787354065084809","9","8","4","0.0390625","1.0","0.5"
"OG0000163","","","7","6","45","232","13.461538461538462","97.47899159663865","6.014814814814815","0.002934056910615588","0.2787354065084809","0.02787354065084809","2","2","1","0.5","1.0","0.21875"
"OG0000164","","","7","6","45","232","13.461538461538462","97.47899159663865","6.014814814814815","0.002934056910615588","0.2787354065084809","0.02787354065084809","2","2","1","0.5","1.0","0.20588235294117646"
"OG0000188","","","3","0","49","238","5.769230769230769","100.0","inf","0.005493576741042236","0.5218897903990124","0.0445229107758946","3","3","0","0.25","0.25","0.007992007992007992"
"OG0000004","","","26","168","26","70","50.0","29.411764705882355","0.4166666666666667","0.005623946624323528","0.5342749293107352","0.0445229107758946","8","4","6","0.2890624999999999","1.0","0.375"
"OG0000157","","","0","26","52","212","0.0","89.07563025210085","0.0","0.006558479368187495","0.623055539977812","0.047927349229062464","2","0","2","0.5","0.5","1.0"
"OG0000152","","","25","66","27","172","48.07692307692308","72.26890756302521","2.4130190796857462","0.007735351735619195","0.7348584148838235","0.052489886777415964","5","5","2","0.0625","1.0","0.003996003996003996"
"OG0000166","","","6","6","46","232","11.538461538461538","97.47899159663865","5.043478260869565","0.00979631818885844","0.9306502279415517","0.062043348529436784","1","1","1","1.0","1.0","0.8125"
"OG0000181","","","3","1","49","237","5.769230769230769","99.57983193277312","14.510204081632653","0.019160523755341198","1.0","0.10707351510337729","3","3","1","0.25","1.0","0.01898101898101898"
"OG0000175","","","3","1","49","237","5.769230769230769","99.57983193277312","14.510204081632653","0.019160523755341198","1.0","0.10707351510337729","4","3","1","0.625","0.625","0.025974025974025976"
"OG0000002","","","48","189","4","49","92.3076923076923","20.588235294117645","3.111111111111111","0.029369460375388224","1.0","0.1473139359576691","4","3","3","0.625","0.625","0.59375"
"OG0000196","","","2","0","50","238","3.8461538461538463","100.0","inf","0.03164300202839633","1.0","0.1473139359576691","1","1","0","1.0","1.0","0.21875"
"OG0000201","","","2","0","50","238","3.8461538461538463","100.0","inf","0.03164300202839633","1.0","0.1473139359576691","2","2","0","0.5","0.5","0.21875"
"OG0000153","","","34","116","18","122","65.38461538461539","51.26050420168067","1.9865900383141764","0.032564133211695274","1.0","0.1473139359576691","9","6","5","0.5078125","1.0","0.625"
"OG0000148","","","49","197","3","41","94.23076923076923","17.22689075630252","3.3993231810490694","0.03453014438201686","1.0","0.14910744164961828","2","1","2","0.5","1.0","0.84375"
"OG0000174","","","3","2","49","236","5.769230769230769","99.15966386554622","7.224489795918367","0.041811338037769444","1.0","0.17041622739613047","5","3","2","1.0","1.0","0.054945054945054944"
"OG0000154","","","27","87","25","151","51.92307692307693","63.4453781512605","1.8744827586206896","0.04305252060533822","1.0","0.17041622739613047","13","5","9","0.26684570312499983","0.5810546875","0.8125"
