"Gene","Non-unique Gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p","Max_Pairwise_comparisons","Max_supporting_pairs","Max_opposing_pairs","Best_pairwise_comp_p","Worst_pairwise_comp_p","Empirical_p"
"OG0000155","","","44","4","109","133","28.75816993464052","97.08029197080292","13.422018348623853","6.840827227140626e-10","6.498785865783595e-08","6.498785865783595e-08","9","9","3","0.00390625","0.5078125","0.025974025974025976"
"OG0000157","","","26","0","127","137","16.99346405228758","100.0","inf","2.0936411846361063e-08","1.988959125404301e-06","9.944795627021504e-07","2","2","0","0.5","0.5","0.78125"
"OG0000149","","","90","112","63","25","58.82352941176471","18.248175182481752","0.31887755102040816","2.2424628578115137e-05","0.002130339714920938","0.0007101132383069794","9","5","8","0.0390625","1.0","0.3125"
"OG0000152","","","33","58","120","79","21.568627450980394","57.66423357664233","0.3745689655172414","0.000217255730483582","0.02063929439594029","0.0051598235989850725","8","5","6","0.2890624999999999","0.7265625000000002","0.65625"
"OG0000004","","","115","79","38","58","75.16339869281046","42.33576642335766","2.221852098600933","0.001790525764695247","0.17009994764604847","0.03401998952920969","8","7","5","0.0703125","0.7265625000000002","0.5625"
"OG0000169","","","8","0","145","137","5.228758169934641","100.0","inf","0.007713835814099948","0.732814402339495","0.12213573372324917","2","2","0","0.5","0.5","0.375"
"OG0000171","","","7","0","146","137","4.57516339869281","100.0","inf","0.015481900971437913","1.0","0.15671523348388228","1","1","0","1.0","1.0","1.0"
"OG0000141","","","146","137","7","0","95.42483660130719","0.0","0.0","0.015481900971437913","1.0","0.15671523348388228","2","0","2","0.5","0.5","0.75"
"OG0000170","","","7","0","146","137","4.57516339869281","100.0","inf","0.015481900971437913","1.0","0.15671523348388228","2","2","0","0.5","0.5","0.84375"
"OG0000001","","","142","114","11","23","92.81045751633987","16.78832116788321","2.6044657097288675","0.01649634036672445","1.0","0.15671523348388228","11","9","4","0.06542968749999997","0.548828125","0.1028971028971029"
"OG0000175","","","0","4","153","133","0.0","97.08029197080292","0.0","0.04865503812964544","1.0","0.42020260202875603","4","0","4","0.125","0.125","0.08091908091908091"
