"Gene","Non-unique Gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p","Max_Pairwise_comparisons","Max_supporting_pairs","Max_opposing_pairs","Best_pairwise_comp_p","Worst_pairwise_comp_p","Empirical_p"
"OG0000151","","","56","100","133","1","29.629629629629626","0.9900990099009901","0.004210526315789474","1.34525401513352e-35","1.2779913143768439e-33","1.2779913143768439e-33","5","1","4","0.375","0.375","0.21875"
"OG0000149","","","177","25","12","76","93.65079365079364","75.24752475247524","44.84","9.85179853815619e-35","9.359208611248382e-33","4.679604305624191e-33","5","4","2","0.375","1.0","0.21875"
"OG0000153","","","138","12","51","89","73.01587301587301","88.11881188118812","20.068627450980394","1.4700535433576714e-24","1.396550866189788e-22","4.65516955396596e-23","5","4","2","0.375","1.0","0.4375"
"OG0000154","","","39","75","150","26","20.634920634920633","25.742574257425744","0.09013333333333333","4.503192529044572e-19","4.278032902592343e-17","1.0695082256480858e-17","5","2","5","0.0625","1.0","0.001998001998001998"
"OG0000150","","","93","93","96","8","49.2063492063492","7.920792079207921","0.08333333333333333","1.645662891000234e-14","1.5633797464502225e-12","3.126759492900445e-13","5","4","4","0.375","0.375","0.21052631578947367"
"OG0000157","","","0","26","189","75","0.0","74.25742574257426","0.0","1.145519250586315e-13","1.0882432880569992e-11","1.813738813428332e-12","2","0","2","0.5","0.5","0.5"
"OG0000155","","","12","36","177","65","6.349206349206349","64.35643564356435","0.1224105461393597","6.21175464156147e-10","5.901166909483397e-08","8.430238442119138e-09","4","4","1","0.125","0.625","0.07992007992007992"
"OG0000148","","","145","101","44","0","76.71957671957672","0.0","0.0","1.3494112220489471e-09","1.2819406609464997e-07","1.6024258261831246e-08","1","0","1","1.0","1.0","0.90625"
"OG0000146","","","151","101","38","0","79.8941798941799","0.0","0.0","2.287841984662419e-08","2.173449885429298e-06","2.4149443171436647e-07","1","0","1","1.0","1.0","0.625"
"OG0000147","","","155","101","34","0","82.01058201058201","0.0","0.0","3.073933618105295e-07","2.92023693720003e-05","2.9202369372000303e-06","1","0","1","1.0","1.0","1.0"
"OG0000002","","","141","96","48","5","74.60317460317461","4.9504950495049505","0.15299479166666666","5.566414185536009e-06","0.0005288093476259209","4.8073577056901895e-05","2","1","2","0.5","1.0","0.2"
"OG0000003","","","165","101","24","0","87.3015873015873","0.0","0.0","2.4552743487655035e-05","0.0023325106313272282","0.0001943758859439357","1","0","1","1.0","1.0","0.058941058941058944"
"OG0000158","","","20","0","169","101","10.582010582010582","100.0","inf","0.00015651562858714032","0.01486898471577833","0.0011437680550598717","1","1","0","1.0","1.0","0.4375"
"OG0000145","","","186","92","3","9","98.4126984126984","8.91089108910891","6.065217391304348","0.004578354678975505","0.43494369450267295","0.031067406750190926","3","2","1","1.0","1.0","0.28125"
"OG0000167","","","11","0","178","101","5.82010582010582","100.0","inf","0.009736057986104748","0.924925508679951","0.0616617005786634","2","2","0","0.5","0.5","0.08191808191808192"
"OG0000177","","","0","4","189","97","0.0","96.03960396039604","0.0","0.014145308348445407","1.0","0.0839877683188946","1","0","1","1.0","1.0","0.25"
"OG0000144","","","179","101","10","0","94.70899470899471","0.0","0.0","0.016734582837704418","1.0","0.09351678644599527","1","0","1","1.0","1.0","0.65625"
"OG0000159","","","17","2","172","99","8.994708994708994","98.01980198019803","4.892441860465116","0.023692816235552146","1.0","0.12504541902096966","3","2","1","1.0","1.0","0.5625"
