Name,species
SRR21590382,LSDV
OR393177.1,LSDV
SRR26747380_SRR26747379_Merged,LSDV
MN072620.1,GTPV
SRR29762742,LSDV
PQ727633.1,LSDV
PQ727627.1,LSDV
OR134837.1,LSDV
SRR27563729,LSDV
OP297402.1,LSDV
PV877838.1,LSDV
MZ577073.1,LSDV
PP145891.1,LSDV
AF409138.1,LSDV
PX127683.1,LSDV
OM984486.1,LSDV
PQ727630.1,LSDV
NC_004002.1,SPPV
OR393171.1,LSDV
OM793606.1,LSDV
KX764644.1,LSDV
SRR26747368_SRR26747369_Merged,LSDV
OQ434239.1,SPPV
OM793607.1,LSDV
PQ727631.1,LSDV
MN072626.1,SPPV
PP843160.1,SPPV
MN636840.1,LSDV
SRR26747378_SRR26747377_Merged,LSDV
OR134833.1,LSDV
PQ472736.1,LSDV
PQ727628.1,LSDV
SRR26747394_SRR26747395_Merged,LSDV
SRR28085238,LSDV
OR134839.1,LSDV
MN636839.1,LSDV
SRR21590386,LSDV
OQ253250.1,LSDV
MN072629.1,SPPV
ON010590.1,LSDV
OQ434237.1,SPPV
OR393167.1,LSDV
SRR34490579,LSDV
ON152411.1,LSDV
MN636843.1,LSDV
PQ824705.1,LSDV
OR347837.1,LSDV
OR134841.1,LSDV
OK422494.1,LSDV
MH893760.2,LSDV
MW435866.1,LSDV
OR134849.1,LSDV
MH381810.1,GTPV
OR983147.1,LSDV
NC_003027.1,LSDV
MW167070.1,SPPV
MZ577074.1,LSDV
PQ510117.1,LSDV
OR644284.1,LSDV
SRR28085239,LSDV
OR393169.1,LSDV
KX576657.1,GTPV
PV835012.1,LSDV
MN636838.1,LSDV
OR983146.1,LSDV
SRR26747384_SRR26747383_Merged,LSDV
SRR28085235,LSDV
PQ179265.1,LSDV
ON961656.1,SPPV
PQ824704.1,LSDV
OR134847.1,LSDV
MH646674.1,LSDV
PQ510118.1,LSDV
OR393174.1,LSDV
OQ606832.1,LSDV
OR983148.1,LSDV
OR134836.1,LSDV
MN636841.1,LSDV
MT134042.1,LSDV
SRR26747398_SRR26747399_Merged,LSDV
OQ267778.1,LSDV
AY077834.1,SPPV
SRR26747390_SRR26747391_Merged,LSDV
PV796583.1,LSDV
SRR25461324,LSDV
SRR27563731,LSDV
SRR11470182,LSDV
OQ434238.1,SPPV
PP979138.1,LSDV
OR347835.1,LSDV
PP053747.1,LSDV
SRR15145277_SRR15145278_Merged,LSDV
OR797612.1,LSDV
MT992618.1,LSDV
PP886239.1,SPPV
MN642592.1,LSDV
KX894508.1,LSDV
PQ727632.1,LSDV
OL542833.1,LSDV
KX683219.1,LSDV
SRR15145279_SRR15145280_Merged,LSDV
OL752713.2,LSDV
OR134838.1,LSDV
OQ253254.1,LSDV
OR134844.1,LSDV
KX764645.1,LSDV
SRR26792425,LSDV
OQ253252.1,LSDV
PQ824707.1,LSDV
MN072621.1,GTPV
OP688129.1,LSDV
PQ014465.1,SPPV
OR239060.1,SPPV
OR134835.1,LSDV
MW656253.1,LSDV
PQ727626.1,LSDV
SRR26747387_SRR26747376_Merged,LSDV
OR347836.1,LSDV
KY702007.1,LSDV
SRR27563732,LSDV
SRR25046328,LSDV
OM793603.1,LSDV
OM793609.1,LSDV
SRR15145275_SRR15145276_Merged,LSDV
OK422493.1,LSDV
PQ727629.1,LSDV
PP886238.1,SPPV
OR134846.1,LSDV
PX499192.1,GTPV
OQ588787.1,LSDV
MZ577075.1,LSDV
SRR26747364_SRR26747365_Merged,LSDV
SRR28085240,LSDV
OR134834.1,LSDV
OM984485.1,LSDV
KC951854.1,GTPV
PQ824703.1,LSDV
KT438551.1,SPPV
OQ555660.1,LSDV
OQ253253.1,LSDV
OM793605.1,LSDV
MN072625.1,GTPV
OR232414.1,LSDV
MN072627.1,SPPV
OP688128.1,LSDV
AY077835.1,GTPV
OM373209.1,LSDV
MZ577076.1,LSDV
MW883897.1,LSDV
PV434148.1,SPPV
SRR28085237,LSDV
PQ727625.1,LSDV
OR644283.1,LSDV
MN072630.1,SPPV
OR983150.1,LSDV
SRR12021191,LSDV
AY077836.1,GTPV
OR863389.1,LSDV
PQ005629.1,LSDV
MT137384.1,SPPV
SRR28085241,LSDV
MW656252.1,LSDV
OR393170.1,LSDV
PP145892.1,LSDV
OQ200493.1,LSDV
SRR24474207,LSDV
PP886237.1,SPPV
KT438550.1,SPPV
KY829023.3,LSDV
SRR26747396_SRR26747397_Merged,LSDV
OR134842.1,LSDV
MW020570.1,GTPV
OR134845.1,LSDV
NC_004003.1,GTPV
SRR27563723,LSDV
SRR25461327,LSDV
ON961657.1,SPPV
OQ253251.1,LSDV
AY077832.1,SPPV
PQ201927.1,LSDV
MN995838.1,LSDV
OQ511520.1,LSDV
PX497580.1,GTPV
OR232413.1,LSDV
SRR26747366_SRR26747367_Merged,LSDV
PV167793.1,SPPV
SRR27563735,LSDV
OK318001.1,LSDV
