genome,year,root_to_tip
KX683219.1,1974.0,0.0116257098
MW631933.1,2017.5383561643835,0.0116925961
SRR27563724,2021.0,0.0117595251
MW883897.1,2020.001598173516,0.011762360999999999
OK422492.1,2020.001598173516,0.011770715999999999
SRR27563729,2021.0,0.011770715999999999
PQ201927.1,2022.0,0.011770715999999999
OP688129.1,2021.0,0.011770715999999999
ON400507.1,2020.0,0.011770715999999999
OR393171.1,2021.5833333333333,0.011770715999999999
PV066181.1,2024.0,0.011770715999999999
PQ005629.1,2024.0,0.011770715999999999
PQ179265.1,2024.041095890411,0.011770715999999999
SRR27563730,2007.0,0.011770715999999999
PP979138.1,2021.7801369863014,0.011770715999999999
SRR25461324,2022.0,0.011770715999999999
OR393170.1,2021.5833333333333,0.011770715999999999
OR863389.1,2020.0,0.011770715999999999
OR393176.1,2022.0,0.011770715999999999
OR393175.1,2021.0,0.011770715999999999
OP297402.1,2019.0,0.011770715999999999
SRR27563728,2019.0,0.011770715999999999
OR393169.1,2022.5833333333333,0.011770715999999999
OK422493.1,2020.001598173516,0.011773500999999999
PP746705.1,2021.0,0.011776285999999999
PP756497.1,2021.0,0.0118431602
PQ510117.1,2023.0,0.011770715999999999
PQ510118.1,2023.0,0.011770715999999999
OK422494.1,2019.0,0.011840459499999999
OR393174.1,2019.0,0.011840459499999999
OP688128.1,2021.0,0.0118380147
OR983152.1,2022.0,0.0118360698
OQ427097.1,2022.6655251141551,0.011827641
SRR27563727,2021.0,0.0116229248
SRR27563725,2019.0,0.011617823499999999
MW656253.1,2018.0,0.0122535142
KX894508.1,2012.9687214611872,0.012338782999999999
SRR28085237,2021.0,0.012338782999999999
SRR28085236,2021.0,0.012338782999999999
SRR28085238,2006.0,0.012338782999999999
PV877838.1,2009.0,0.012338782999999999
MN995838.1,2014.6189497716894,0.012338782999999999
SRR28085235,2019.0,0.012338782999999999
KY702007.1,2016.4358447488585,0.0124896568
OR134841.1,2016.6353881278537,0.0124896568
OR134846.1,2016.5520547945205,0.0124896568
OR134844.1,2016.3744292237443,0.0124896568
OR134837.1,2017.4495433789955,0.0124896568
OR134838.1,2017.4495433789955,0.0124896568
OR134842.1,2016.901826484018,0.0124896568
OR134839.1,2017.6052511415523,0.0124896568
OR134845.1,2016.4358447488585,0.0124896568
OR134834.1,2016.6353881278537,0.0124896568
OR134836.1,2016.9550228310502,0.0124896568
OR134847.1,2016.5602739726028,0.0124896568
OR134843.1,2016.291095890411,0.0124896568
OR134835.1,2016.901826484018,0.0124896568
OR134849.1,2016.7324200913242,0.0124896568
OR134833.1,2016.6271689497717,0.0124896568
OR134832.1,2017.6052511415523,0.012553961899999999
KY829023.3,2015.6326484018264,0.0124170146
OR134840.1,2016.6271689497717,0.0124170146
MT643825.1,2016.4577625570778,0.0124170146
MT130502.2,2018.0301369863014,0.0124869871
ON010590.1,2019.0,0.012486970299999999
OQ588787.1,2022.8157534246575,0.012790758
OQ606832.1,2022.0,0.012793543
SRR25046328,2022.0,0.012793543
OR393178.1,2022.0,0.012793543
SRR25461328,2022.0,0.012793543
SRR26792425,2023.0,0.012793543
SRR25046331,2022.0,0.012793543
OR393177.1,2022.0,0.012793543
PV066182.1,2024.0,0.012793543
OR393173.1,2022.5833333333333,0.012793543
PP053747.1,2023.0,0.012793543
OR797612.1,2023.0,0.012793543
OR393167.1,2022.5833333333333,0.012801897999999999
OR393172.1,2022.5833333333333,0.012804682999999999
OR520147.1,2023.1666666666667,0.012807467999999999
PV022135.1,2024.3020547945205,0.012810252999999999
PV835012.1,2024.6666666666667,0.012877237
OR983146.1,2022.0,0.0128784929
OR983149.1,2022.0,0.0128784929
OR983151.1,2022.0,0.0128757079
OR983148.1,2022.0,0.0128757079
OR983150.1,2022.0,0.0128757079
PQ472736.1,2024.0,0.0133767484
OR983147.1,2022.0,0.0128643027
PQ878211.1,2023.1666666666667,0.012855008199999999
SRR25461327,2022.0,0.013004284199999999
MN642592.1,2016.5191780821917,0.012341567999999999
PX127681.1,2021.0,0.012335997999999999
MH893760.2,2015.0,0.012333212999999999
MW699032.1,2015.0,0.012397487899999999
SRR27563731,1997.0,0.0121808596
MT007950.1,2016.6666666666667,0.012457589699999999
SRR12021190,2018.0,0.012672070399999999
SRR12021191,2018.0,0.0127388064
OR644282.1,2011.0,0.0125978634
OR644284.1,2012.0,0.0123905997
PP065788.1,2022.0,0.012393375299999999
PP065789.1,2022.0,0.012393375299999999
OR644283.1,2011.0,0.0122507482
OR644285.1,2017.0,0.0122507482
OK318001.1,2018.0,0.0123041734
SRR34490579,2000.0,0.013012893599999999
SRR27563723,1995.0,0.012100079699999999
SRR27563734,2006.0,0.012100079699999999
SRR27563732,2019.0,0.012097857799999999
SRR27563735,1959.0,0.0120274939
AF409138.1,1959.0,0.0179914013
MT134042.1,2019.174885844749,0.0220304086
MT992618.1,2018.6666666666667,0.0232974002
OR194148.1,2018.5328767123287,0.0223475595
OL542833.1,2019.0,0.020844108
PQ824703.1,2022.0,0.0181401734
PQ824704.1,2022.0,0.0181429584
PQ824706.1,2022.0,0.0181457434
PQ824707.1,2022.0,0.0181457434
PQ824705.1,2022.0,0.0181373884
KX764643.1,1999.0,0.0179258438
MG972412.1,2016.0,0.0179258438
OR134848.1,2016.5821917808219,0.0179258438
OM793609.1,1988.0,0.0179258438
MK441838.1,2011.0,0.0178492425
MW656252.1,1954.0,0.0164412119
MN636838.1,1993.0,0.0165837277
MN636841.1,1993.0,0.0165837277
MN636842.1,1993.0,0.0165837277
MN636840.1,1993.0,0.0165837277
MN636839.1,1991.0,0.0166516426
MN636843.1,1997.0,0.0166516426
MW435866.1,1959.0,0.0164461649
SRR27563733,2009.0,0.0164461649
OM793604.1,1977.0,0.0164433799
OM793605.1,1958.0,0.01637029
OM793608.1,1957.0,0.01637029
OM793607.1,1959.0,0.01637029
OM793606.1,1958.0,0.0164328058
MH646674.1,2017.0,0.0175143529
OM530217.1,2019.0,0.0174461185
MW732649.1,2020.919406392694,0.0143821308
MZ577073.1,2020.8267123287671,0.0135341914
MZ577075.1,2020.879908675799,0.0135341914
OL752713.2,2020.629908675799,0.0135341914
MZ577076.1,2020.9127853881278,0.0135341914
OP985536.1,2020.4166666666667,0.0135341914
OM803091.1,2020.4166666666667,0.0135341914
OM803092.1,2020.75,0.0135341914
MZ577074.1,2020.8321917808219,0.0135341914
ON616408.1,2020.0,0.0135341914
PX127682.1,2021.0,0.013604871099999999
PX127683.1,2021.0,0.013604871099999999
MW355944.1,2020.5,0.0134690955
OR347837.1,2022.4742009132422,0.0134690955
PQ727628.1,2022.0,0.0134690955
OQ253251.1,2021.419406392694,0.0134690955
OQ253256.1,2021.3826484018264,0.0134690955
OM793603.1,2020.0,0.0134690955
OM373209.1,2020.0,0.0134690955
PV796583.1,2021.0,0.0134690955
PQ682462.1,2020.0,0.0134690955
OM984486.1,2019.0,0.0134690955
PP145891.1,2021.6666666666667,0.0134690955
OR232413.1,2022.0833333333333,0.0134690955
ON152411.1,2021.7242009132422,0.0134690955
OQ253253.1,2022.4550228310502,0.0134690955
OM793602.1,2020.0,0.0134690955
OR347834.1,2021.7433789954339,0.0134690955
OQ253252.1,2021.7828767123287,0.0134690955
OQ253255.1,2021.2296803652969,0.0134690955
OQ253254.1,2021.3497716894976,0.0134690955
OQ267778.1,2021.407305936073,0.0134690955
OP752701.1,2021.0,0.0134690955
OQ200493.1,2021.4358447488585,0.0134690955
OQ349695.1,2021.0,0.0134690955
PQ727633.1,2022.0,0.0134690955
OR347835.1,2022.1244292237443,0.0134690955
PP894832.1,2023.75,0.0134690955
OP922506.1,2021.527397260274,0.0134690955
OR347836.1,2022.4440639269408,0.0134690955
OR232414.1,2022.0833333333333,0.0134690955
PQ727629.1,2022.0,0.0134690955
PQ727632.1,2022.0,0.0134690955
OR735987.1,2022.6545662100457,0.0134690955
PP145892.1,2021.8130136986301,0.0134690955
OQ267777.1,2022.6803652968038,0.0135366512
PQ037207.1,2022.8321917808219,0.013536651
OM033705.1,2021.3157534246575,0.0134663105
OP654649.1,2021.75,0.0134663105
