Orthogroup,N_sequences,N_codons,LRT,p_value,omega_mean,omega_max,prop_sites_omega_gt1,q_value_BH,Selection
OG0000058,290,1156,31.07015665652034,8.957178115887032e-08,3.736076701275816,16597.66822914845,0.0002240452675461503,3.4499704049117965e-06,Episodic diversifying (positive)
OG0000100,287,480,30.25419973569933,1.346957846370955e-07,0.5014072938881567,25.64030247851992,0.0191707909444086,3.4499704049117965e-06,Episodic diversifying (positive)
OG0000116,289,171,29.75945999681289,1.724985202455898e-07,35.41701277577626,6883.241713326728,0.005129981068663907,3.4499704049117965e-06,Episodic diversifying (positive)
OG0000120,290,217,23.96115679561854,3.132354567225715e-06,3.4650612395778646,29.10750132220631,0.1183408378939347,4.698531850838573e-05,Episodic diversifying (positive)
OG0000123,289,231,16.69423641948424,0.0001185393730856465,1.0046126922676728,11.02006872293713,0.09116210774409016,0.001422472477027758,Episodic diversifying (positive)
OG0000110,289,215,14.57442614774482,0.0003421161514697291,0.536058394336702,12.42952499418452,0.04312782625140631,0.003421161514697291,Episodic diversifying (positive)
OG0000106,290,303,11.03904078464757,0.002003884819257395,0.2130257612149344,21.04628288600529,0.01012177600998539,0.017176155593634813,Episodic diversifying (positive)
OG0000091,287,78,10.73646953390039,0.002331177096224435,30.489177265931662,6915.701209934922,0.00440868920452082,0.017483828221683262,Episodic diversifying (positive)
OG0000103,290,179,9.7174592132003,0.003880168156010444,1.2608988726410435,87.92186415291647,0.01408246595172382,0.025867787706736294,Episodic diversifying (positive)
OG0000090,290,292,8.603502254307386,0.006772409766136522,3.785802821619209,909.7531385953868,0.004122378450975057,0.040634458596819134,Episodic diversifying (positive)
OG0000087,289,172,7.517696639786664,0.01165528562201495,0.6634080482416793,57.49028297300035,0.01121584019634922,0.06357428521099064,Purifying
OG0000084,289,150,6.729218187918605,0.01728776463084636,0.8409664412655316,592.4776851640918,0.001236402382013385,0.08643882315423179,Purifying
OG0000072,287,370,5.45163239753856,0.03274636290914945,0.37352156403795755,125.014102555522,0.002668113468322195,0.15113705958068976,Purifying
OG0000062,290,89,4.968830686788237,0.04168714279819319,1.035875715755364,19.56201637888484,0.0529534223718105,0.17865918342082796,Neutral / inconclusive
OG0000057,290,661,4.543655793777361,0.05156175428225085,0.1725734650045122,100.3856791756013,0.001514090300876586,0.199250830614545,Purifying
OG0000098,290,377,4.483598904178962,0.05313355483054533,0.125179763729239,10.18834644278811,0.007537832412652342,0.199250830614545,Purifying
