Node	Total SNPs	Number of SNPs Inside Recombinations	Number of SNPs Outside Recombinations	Number of Recombination Blocks	Bases in Recombinations Including Gaps	Cumulative Bases in Recombinations Including Gaps	Bases in Recombinations Excluding Gaps	Cumulative Bases in Recombinations Excluding Gaps	r/m	rho/theta	Genome Length	Bases in Clonal Frame
Cow_LSDV_Ref.fasta.ref	0	0	0	0	0	663	0	645	0.000000	0.000000	110325	109665
SRR28085235.fasta	0	0	0	0	0	663	0	645	0.000000	0.000000	110322	109662
MW656253.1.fasta	5	0	5	0	0	663	0	645	0.000000	0.000000	110322	109662
PP894832.1.fasta	0	0	0	0	0	8383	0	8349	0.000000	0.000000	110321	101946
SRR26747388_SRR26747389_Merged.fasta	0	0	0	0	0	663	0	645	0.000000	0.000000	110321	109661
PQ510117.1.fasta	0	0	0	0	0	663	0	645	0.000000	0.000000	110323	109663
SRR11470182.fasta	0	0	0	0	0	663	0	645	0.000000	0.000000	110321	109661
OM793605.1.fasta	0	0	0	0	0	21121	0	21041	0.000000	0.000000	110314	89201
OM793606.1.fasta	0	0	0	0	0	21121	0	21041	0.000000	0.000000	110314	89201
SRR27563724.fasta	0	0	0	0	0	663	0	645	0.000000	0.000000	110325	109665
OR134839.1.fasta	2	0	2	0	0	663	0	645	0.000000	0.000000	110321	109661
OR134849.1.fasta	0	0	0	0	0	663	0	645	0.000000	0.000000	110321	109661
MN636838.1.fasta	0	0	0	0	0	21121	0	21041	0.000000	0.000000	110314	89201
OQ588787.1.fasta	0	0	0	0	0	663	0	645	0.000000	0.000000	110321	109661
AF409137.1.fasta	0	0	0	0	0	663	0	645	0.000000	0.000000	110322	109662
OQ427097.1.fasta	1	0	1	0	0	663	0	645	0.000000	0.000000	110321	109661
ON010590.1.fasta	4	0	4	0	0	663	0	645	0.000000	0.000000	110323	109662
PQ878211.1.fasta	1	0	1	0	0	663	0	645	0.000000	0.000000	110321	109661
MT643825.1.fasta	1	0	1	0	0	663	0	645	0.000000	0.000000	110321	109661
AY077834.1.fasta	1	0	1	0	0	0	0	0	0.000000	0.000000	110358	110358
SRR26747384_SRR26747383_Merged.fasta	0	0	0	0	0	663	0	645	0.000000	0.000000	110321	109661
PQ014465.1.fasta	41	27	14	3	1356	1356	1356	1356	1.928571	0.214286	110358	110358
PP886237.1.fasta	4	0	4	0	0	0	0	0	0.000000	0.000000	110353	110353
OM803092.1.fasta	0	0	0	0	0	8383	0	8349	0.000000	0.000000	110320	101945
MK441838.1.fasta	0	0	0	0	0	21121	0	21041	0.000000	0.000000	110315	89201
SRR26747366_SRR26747367_Merged.fasta	0	0	0	0	0	663	0	645	0.000000	0.000000	110322	109662
MZ577073.1.fasta	0	0	0	0	0	8383	0	8349	0.000000	0.000000	110320	101945
OR134847.1.fasta	0	0	0	0	0	663	0	645	0.000000	0.000000	110321	109661
MN072631.1.fasta	6	0	6	0	0	0	0	0	0.000000	0.000000	110360	110360
PQ727627.1.fasta	0	0	0	0	0	8383	0	8349	0.000000	0.000000	110321	101946
OR134834.1.fasta	0	0	0	0	0	663	0	645	0.000000	0.000000	110322	109662
PQ472736.1.fasta	1	0	1	0	0	663	0	645	0.000000	0.000000	110313	109653
OM793602.1.fasta	0	0	0	0	0	8383	0	8349	0.000000	0.000000	110321	101946
OR983147.1.fasta	6	5	1	1	639	1302	628	1271	5.000000	1.000000	110177	109523
OR134835.1.fasta	0	0	0	0	0	663	0	645	0.000000	0.000000	110321	109661
SRR26792425.fasta	0	0	0	0	0	663	0	645	0.000000	0.000000	110321	109661
OQ434237.1.fasta	1	0	1	0	0	0	0	0	0.000000	0.000000	110358	110358
PV022135.1.fasta	0	0	0	0	0	663	0	645	0.000000	0.000000	110325	109665
SRR28085240.fasta	0	0	0	0	0	8383	0	8349	0.000000	0.000000	110320	101945
MH646674.1.fasta	7	0	7	0	0	22564	0	22485	0.000000	0.000000	110322	87766
SRR12021190.fasta	0	0	0	0	0	663	0	645	0.000000	0.000000	110322	109662
SRR27563725.fasta	5	0	5	0	0	663	0	645	0.000000	0.000000	110325	109665
AY077835.1.fasta	1	0	1	0	0	305	0	278	0.000000	0.000000	110302	109999
SRR26747364_SRR26747365_Merged.fasta	0	0	0	0	0	663	0	645	0.000000	0.000000	110321	109661
MN072620.1.fasta	1	0	1	0	0	302	0	280	0.000000	0.000000	110316	110016
PX127681.1.fasta	1	0	1	0	0	663	0	645	0.000000	0.000000	110321	109661
OM033705.1.fasta	0	0	0	0	0	8383	0	8349	0.000000	0.000000	110320	101945
OR393172.1.fasta	0	0	0	0	0	663	0	645	0.000000	0.000000	110322	109662
MT134042.1.fasta	118	63	55	6	5253	7039	5239	6997	1.145455	0.109091	110325	107964
PQ727626.1.fasta	0	0	0	0	0	8383	0	8349	0.000000	0.000000	110321	101946
OR232413.1.fasta	2	0	2	0	0	8383	0	8349	0.000000	0.000000	110320	101945
OR520147.1.fasta	0	0	0	0	0	663	0	645	0.000000	0.000000	110321	109661
MN072628.1.fasta	67	0	67	0	0	0	0	0	0.000000	0.000000	110353	110353
SRR27563728.fasta	0	0	0	0	0	663	0	645	0.000000	0.000000	110324	109664
PV066182.1.fasta	0	0	0	0	0	663	0	645	0.000000	0.000000	110321	109661
MN636842.1.fasta	0	0	0	0	0	21121	0	21041	0.000000	0.000000	110314	89201
PV835012.1.fasta	2	0	2	0	0	663	0	645	0.000000	0.000000	110320	109660
PQ037207.1.fasta	2	0	2	0	0	8383	0	8349	0.000000	0.000000	110320	101945
MN072626.1.fasta	18	0	18	0	0	271	0	271	0.000000	0.000000	110337	110066
AY077833.1.fasta	4	0	4	0	0	0	0	0	0.000000	0.000000	110359	110359
OM793609.1.fasta	0	0	0	0	0	21121	0	21041	0.000000	0.000000	110317	89203
MW167070.1.fasta	2	0	2	0	0	0	0	0	0.000000	0.000000	110360	110360
PQ727628.1.fasta	0	0	0	0	0	8383	0	8349	0.000000	0.000000	110319	101944
OQ253252.1.fasta	1	0	1	0	0	8383	0	8349	0.000000	0.000000	110318	101943
SRR25461328.fasta	10	6	4	1	12	675	12	657	1.500000	0.250000	110320	109660
PP145892.1.fasta	0	0	0	0	0	8383	0	8349	0.000000	0.000000	110318	101943
OR347837.1.fasta	0	0	0	0	0	8383	0	8349	0.000000	0.000000	110318	101943
KT438550.1.fasta	2	0	2	0	0	0	0	0	0.000000	0.000000	110360	110360
SRR28085239.fasta	0	0	0	0	0	663	0	645	0.000000	0.000000	110324	109664
OK422492.1.fasta	0	0	0	0	0	663	0	645	0.000000	0.000000	110324	109664
PP886236.1.fasta	0	0	0	0	0	0	0	0	0.000000	0.000000	110351	110351
SRR26747387_SRR26747376_Merged.fasta	0	0	0	0	0	663	0	645	0.000000	0.000000	110321	109661
PQ179265.1.fasta	0	0	0	0	0	663	0	645	0.000000	0.000000	110324	109664
SRR21590382.fasta	1	0	1	0	0	663	0	645	0.000000	0.000000	110321	109661
SRR28085241.fasta	1	0	1	0	0	8383	0	8349	0.000000	0.000000	110318	101943
SRR24474207.fasta	5	3	2	1	15	678	15	660	1.500000	0.500000	110321	109661
SRR27563733.fasta	0	0	0	0	0	21121	0	21041	0.000000	0.000000	110317	89204
SRR34490579.fasta	11	0	11	0	0	663	0	645	0.000000	0.000000	110512	109852
MZ577074.1.fasta	0	0	0	0	0	8383	0	8349	0.000000	0.000000	110318	101943
OR393170.1.fasta	0	0	0	0	0	663	0	645	0.000000	0.000000	110324	109664
OQ349695.1.fasta	0	0	0	0	0	8383	0	8349	0.000000	0.000000	110318	101943
MT992618.1.fasta	195	65	130	4	4648	17696	4643	17634	0.500000	0.030769	110316	96660
OP688128.1.fasta	1	0	1	0	0	663	0	645	0.000000	0.000000	110324	109664
OQ434235.1.fasta	4	0	4	0	0	0	0	0	0.000000	0.000000	110359	110359
SRR26747386_SRR26747385_Merged.fasta	0	0	0	0	0	663	0	645	0.000000	0.000000	110321	109661
OR393167.1.fasta	1	0	1	0	0	663	0	645	0.000000	0.000000	108903	108243
OR983146.1.fasta	0	0	0	0	0	663	0	644	0.000000	0.000000	110287	109628
OQ434236.1.fasta	14	3	11	1	88	88	88	88	0.272727	0.090909	110360	110360
OQ253254.1.fasta	0	0	0	0	0	8383	0	8349	0.000000	0.000000	110318	101943
MN072627.1.fasta	22	0	22	0	0	271	0	271	0.000000	0.000000	110335	110064
MH381810.1.fasta	11	0	11	0	0	302	0	280	0.000000	0.000000	110307	110007
NC_004002.1.fasta	0	0	0	0	0	0	0	0	0.000000	0.000000	110350	110350
MW656252.1.fasta	0	0	0	0	0	21121	0	21041	0.000000	0.000000	110316	89203
OM793604.1.fasta	0	0	0	0	0	21121	0	21041	0.000000	0.000000	110317	89204
SRR12021191.fasta	0	0	0	0	0	663	0	645	0.000000	0.000000	110321	109661
PQ201927.1.fasta	0	0	0	0	0	663	0	645	0.000000	0.000000	110324	109664
OR134840.1.fasta	0	0	0	0	0	663	0	645	0.000000	0.000000	110321	109661
PP065788.1.fasta	0	0	0	0	0	663	0	645	0.000000	0.000000	110321	109661
PQ682462.1.fasta	2	0	2	0	0	8383	0	8349	0.000000	0.000000	110318	101943
SRR27563726.fasta	0	0	0	0	0	663	0	645	0.000000	0.000000	110322	109662
ON961656.1.fasta	0	0	0	0	0	0	0	0	0.000000	0.000000	110359	110359
KT438551.1.fasta	0	0	0	0	0	0	0	0	0.000000	0.000000	110360	110360
OK318001.1.fasta	0	0	0	0	0	663	0	645	0.000000	0.000000	110323	109663
OP654649.1.fasta	6	4	2	1	20	8403	20	8369	2.000000	0.500000	110316	101941
AY077836.1.fasta	4	0	4	0	0	305	0	278	0.000000	0.000000	110302	109998
MN072624.1.fasta	97	0	97	0	0	302	0	280	0.000000	0.000000	110306	110006
OR239060.1.fasta	17	0	17	0	0	0	0	0	0.000000	0.000000	110354	110354
OP508345.1.fasta	14	0	14	0	0	8383	0	8348	0.000000	0.000000	110311	101936
OP688129.1.fasta	1	0	1	0	0	663	0	645	0.000000	0.000000	110324	109664
MT007950.1.fasta	2	0	2	0	0	663	0	645	0.000000	0.000000	110271	109611
PP145891.1.fasta	0	0	0	0	0	8383	0	8349	0.000000	0.000000	110318	101943
PP843160.1.fasta	0	0	0	0	0	0	0	0	0.000000	0.000000	110351	110351
PQ005629.1.fasta	0	0	0	0	0	663	0	645	0.000000	0.000000	110324	109664
SRR21590386.fasta	2	0	2	0	0	663	0	645	0.000000	0.000000	110321	109661
PP746705.1.fasta	0	0	0	0	0	663	0	645	0.000000	0.000000	110324	109664
OR134833.1.fasta	0	0	0	0	0	663	0	645	0.000000	0.000000	110321	109661
OR134832.1.fasta	0	0	0	0	0	663	0	645	0.000000	0.000000	110321	109661
ON961655.1.fasta	1	0	1	0	0	0	0	0	0.000000	0.000000	110355	110355
SRR26747380_SRR26747379_Merged.fasta	0	0	0	0	0	663	0	645	0.000000	0.000000	110325	109665
PV066181.1.fasta	2	0	2	0	0	663	0	645	0.000000	0.000000	110324	109664
PX127682.1.fasta	0	0	0	0	0	8383	0	8349	0.000000	0.000000	110318	101943
SRR27563729.fasta	0	0	0	0	0	663	0	645	0.000000	0.000000	110324	109664
MG000156.1.fasta	31	0	31	0	0	0	0	0	0.000000	0.000000	110282	110282
PX497580.1.fasta	2	0	2	0	0	302	0	280	0.000000	0.000000	110320	110020
OL752713.2.fasta	0	0	0	0	0	8383	0	8349	0.000000	0.000000	110318	101943
OR134845.1.fasta	0	0	0	0	0	663	0	645	0.000000	0.000000	110324	109664
SRR26747398_SRR26747399_Merged.fasta	0	0	0	0	0	663	0	645	0.000000	0.000000	110324	109664
OP752701.1.fasta	0	0	0	0	0	8383	0	8349	0.000000	0.000000	110319	101944
OL542833.1.fasta	207	52	155	4	988	17767	988	17694	0.335484	0.025806	110327	92858
MN072621.1.fasta	7	0	7	0	0	302	0	279	0.000000	0.000000	110317	110017
MN995838.1.fasta	0	0	0	0	0	663	0	645	0.000000	0.000000	110324	109664
OQ555660.1.fasta	0	0	0	0	0	8383	0	8349	0.000000	0.000000	110318	101943
PQ510118.1.fasta	0	0	0	0	0	663	0	645	0.000000	0.000000	110318	109659
AF325528.1.fasta	0	0	0	0	0	663	0	645	0.000000	0.000000	110325	109665
PQ824703.1.fasta	0	0	0	0	0	21121	0	21041	0.000000	0.000000	110316	89202
OR232414.1.fasta	0	0	0	0	0	8383	0	8349	0.000000	0.000000	110318	101943
SRR27563731.fasta	0	0	0	0	0	663	0	645	0.000000	0.000000	110324	109664
SRR15145275_SRR15145276_Merged.fasta	0	0	0	0	0	8383	0	8349	0.000000	0.000000	110318	101943
OR347834.1.fasta	0	0	0	0	0	8383	0	8349	0.000000	0.000000	110318	101943
OM793607.1.fasta	0	0	0	0	0	21121	0	21041	0.000000	0.000000	110315	89202
OR983151.1.fasta	0	0	0	0	0	663	0	644	0.000000	0.000000	110278	109619
OR393177.1.fasta	0	0	0	0	0	663	0	645	0.000000	0.000000	110324	109664
MN072623.1.fasta	30	0	30	0	0	302	0	280	0.000000	0.000000	110316	110016
AF409138.1.fasta	2	0	2	0	0	21121	0	21042	0.000000	0.000000	110317	89203
SRR15145277_SRR15145278_Merged.fasta	0	0	0	0	0	8383	0	8349	0.000000	0.000000	110318	101943
MW883897.1.fasta	0	0	0	0	0	663	0	645	0.000000	0.000000	110324	109664
OR134836.1.fasta	0	0	0	0	0	663	0	645	0.000000	0.000000	110324	109664
SRR27563730.fasta	1	0	1	0	0	663	0	645	0.000000	0.000000	110324	109664
PP886239.1.fasta	1	0	1	0	0	0	0	0	0.000000	0.000000	110347	110347
ON616408.1.fasta	0	0	0	0	0	8383	0	8349	0.000000	0.000000	110318	101943
OR983150.1.fasta	0	0	0	0	0	663	0	644	0.000000	0.000000	110286	109627
OP922506.1.fasta	0	0	0	0	0	8383	0	8349	0.000000	0.000000	110318	101943
MN636840.1.fasta	0	0	0	0	0	21121	0	21042	0.000000	0.000000	110317	89204
MN636839.1.fasta	2	0	2	0	0	21121	0	21042	0.000000	0.000000	110317	89204
MN072622.1.fasta	32	0	32	0	0	305	0	278	0.000000	0.000000	110309	110006
SRR29762742.fasta	0	0	0	0	0	663	0	645	0.000000	0.000000	110324	109664
MH893760.2.fasta	2	0	2	0	0	663	0	645	0.000000	0.000000	110327	109667
OQ434239.1.fasta	0	0	0	0	0	0	0	0	0.000000	0.000000	110355	110355
OQ606832.1.fasta	0	0	0	0	0	663	0	645	0.000000	0.000000	110324	109664
PV434148.1.fasta	6	0	6	0	0	0	0	0	0.000000	0.000000	110346	110346
PP756497.1.fasta	1	0	1	0	0	663	0	645	0.000000	0.000000	110325	109665
PX127683.1.fasta	0	0	0	0	0	8383	0	8349	0.000000	0.000000	110318	101943
SRR26747374_SRR26747375_Merged.fasta	0	0	0	0	0	663	0	645	0.000000	0.000000	110324	109664
OR644285.1.fasta	0	0	0	0	0	663	0	645	0.000000	0.000000	110324	109664
OP985536.1.fasta	0	0	0	0	0	8383	0	8349	0.000000	0.000000	110318	101943
OR194148.1.fasta	1	0	1	0	0	11967	0	11927	0.000000	0.000000	110322	98363
OR644282.1.fasta	14	0	14	0	0	663	0	645	0.000000	0.000000	110324	109664
SRR25046328.fasta	1	0	1	0	0	663	0	645	0.000000	0.000000	110324	109664
OR134844.1.fasta	0	0	0	0	0	663	0	645	0.000000	0.000000	110324	109664
MW732649.1.fasta	21	13	8	2	54	8437	54	8403	1.625000	0.250000	110319	101944
MN072629.1.fasta	17	0	17	0	0	0	0	0	0.000000	0.000000	110351	110351
SRR26283950.fasta	5	0	5	0	0	11967	0	11927	0.000000	0.000000	110322	98363
MN072630.1.fasta	14	0	14	0	0	0	0	0	0.000000	0.000000	110358	110358
SRR25046331.fasta	0	0	0	0	0	663	0	645	0.000000	0.000000	110324	109664
OR393175.1.fasta	1	0	1	0	0	663	0	645	0.000000	0.000000	110324	109664
SRR27563727.fasta	0	0	0	0	0	663	0	645	0.000000	0.000000	110325	109665
OQ511520.1.fasta	0	0	0	0	0	8383	0	8349	0.000000	0.000000	110320	101945
OR393178.1.fasta	0	0	0	0	0	663	0	645	0.000000	0.000000	110324	109664
PV877838.1.fasta	0	0	0	0	0	663	0	645	0.000000	0.000000	110323	109663
