"genome_id","cluster"
"SRR28085235",5
"MW656253.1",5
"PP894832.1",1
"SRR26747388_SRR26747389_Merged",5
"PQ510117.1",5
"SRR11470182",5
"OM793605.1",4
"OM793606.1",4
"SRR27563724",5
"OR134839.1",5
"OR134849.1",5
"MN636838.1",4
"OQ588787.1",5
"AF409137.1",5
"OQ427097.1",5
"ON010590.1",5
"PQ878211.1",5
"MT643825.1",5
"AY077834.1",2
"SRR26747384_SRR26747383_Merged",5
"PQ014465.1",2
"PP886237.1",2
"OM803092.1",1
"MK441838.1",4
"SRR26747366_SRR26747367_Merged",5
"MZ577073.1",1
"OR134847.1",5
"MN072631.1",2
"PQ727627.1",1
"OR134834.1",5
"PQ472736.1",5
"OM793602.1",1
"OR983147.1",5
"OR134835.1",5
"SRR26792425",5
"OQ434237.1",2
"PV022135.1",5
"SRR28085240",1
"MH646674.1",4
"SRR12021190",5
"SRR27563725",5
"AY077835.1",3
"SRR26747364_SRR26747365_Merged",5
"MN072620.1",3
"PX127681.1",5
"OM033705.1",1
"OR393172.1",5
"MT134042.1",4
"PQ727626.1",1
"OR232413.1",1
"OR520147.1",5
"MN072628.1",2
"SRR27563728",5
"PV066182.1",5
"MN636842.1",4
"PV835012.1",5
"PQ037207.1",1
"MN072626.1",2
"AY077833.1",2
"OM793609.1",4
"MW167070.1",2
"PQ727628.1",1
"OQ253252.1",1
"SRR25461328",5
"PP145892.1",1
"OR347837.1",1
"KT438550.1",2
"SRR28085239",5
"OK422492.1",5
"PP886236.1",2
"SRR26747387_SRR26747376_Merged",5
"PQ179265.1",5
"SRR21590382",5
"SRR28085241",1
"SRR24474207",5
"SRR27563733",4
"SRR34490579",5
"MZ577074.1",1
"OR393170.1",5
"OQ349695.1",1
"MT992618.1",4
"OP688128.1",5
"OQ434235.1",2
"SRR26747386_SRR26747385_Merged",5
"OR393167.1",5
"OR983146.1",5
"OQ434236.1",2
"OQ253254.1",1
"MN072627.1",2
"MH381810.1",3
"NC_004002.1",2
"MW656252.1",4
"OM793604.1",4
"SRR12021191",5
"PQ201927.1",5
"OR134840.1",5
"PP065788.1",5
"PQ682462.1",1
"SRR27563726",5
"ON961656.1",2
"KT438551.1",2
"OK318001.1",5
"OP654649.1",1
"AY077836.1",3
"MN072624.1",3
"OR239060.1",2
"OP508345.1",1
"OP688129.1",5
"MT007950.1",5
"PP145891.1",1
"PP843160.1",2
"PQ005629.1",5
"SRR21590386",5
"PP746705.1",5
"OR134833.1",5
"OR134832.1",5
"ON961655.1",2
"SRR26747380_SRR26747379_Merged",5
"PV066181.1",5
"PX127682.1",1
"SRR27563729",5
"MG000156.1",2
"PX497580.1",3
"OL752713.2",1
"OR134845.1",5
"SRR26747398_SRR26747399_Merged",5
"OP752701.1",1
"OL542833.1",4
"MN072621.1",3
"MN995838.1",5
"OQ555660.1",1
"PQ510118.1",5
"AF325528.1",5
"PQ824703.1",4
"OR232414.1",1
"SRR27563731",5
"SRR15145275_SRR15145276_Merged",1
"OR347834.1",1
"OM793607.1",4
"OR983151.1",5
"OR393177.1",5
"MN072623.1",3
"AF409138.1",4
"SRR15145277_SRR15145278_Merged",1
"MW883897.1",5
"OR134836.1",5
"SRR27563730",5
"PP886239.1",2
"ON616408.1",1
"OR983150.1",5
"OP922506.1",1
"MN636840.1",4
"MN636839.1",4
"MN072622.1",3
"SRR29762742",5
"MH893760.2",5
"OQ434239.1",2
"OQ606832.1",5
"PV434148.1",2
"PP756497.1",5
"PX127683.1",1
"SRR26747374_SRR26747375_Merged",5
"OR644285.1",5
"OP985536.1",1
"OR194148.1",4
"OR644282.1",5
"SRR25046328",5
"OR134844.1",5
"MW732649.1",1
"MN072629.1",2
"SRR26283950",4
"MN072630.1",2
"SRR25046331",5
"OR393175.1",5
"SRR27563727",5
"OQ511520.1",1
"OR393178.1",5
"PV877838.1",5
"PP053747.1",5
"OR134846.1",5
"MW030512.1",5
"SRR28085236",5
"PQ727625.1",1
"OP297402.1",5
"OM373209.1",1
"KC951854.1",3
"PV167794.1",3
"KX764644.1",4
"OM793603.1",1
"OR797612.1",5
"MW167071.1",2
"SRR26747390_SRR26747391_Merged",5
"OR863389.1",5
"OR393174.1",5
"NC_003027.1",5
"PQ824705.1",4
"OQ267777.1",1
"PQ727632.1",1
"MW699032.1",5
"SRR25461324",5
"OR134837.1",5
"MN636843.1",4
"SRR26747368_SRR26747369_Merged",5
"OR347836.1",1
"KY829023.3",5
"OR393176.1",5
"SRR26747394_SRR26747395_Merged",5
"OR983148.1",5
"MZ577076.1",1
"OR644283.1",5
"MW020571.1",2
"OM803091.1",1
"ON005067.1",5
"MN636841.1",4
"OM984486.1",1
"PQ727630.1",1
"OR393173.1",5
"OQ253255.1",1
"SRR28085238",5
"ON400507.1",5
"MN072619.1",5
"PQ824707.1",4
"MW631933.1",5
"PQ824704.1",4
"SRR15145279_SRR15145280_Merged",1
"OK422493.1",5
"PP979138.1",5
"MW435866.1",4
"OR567413.1",1
"SRR25461327",5
"KY702007.1",5
"OR983149.1",5
"SRR26747378_SRR26747377_Merged",5
"OR134848.1",4
"OM984485.1",1
"PQ824706.1",4
"PV167793.1",2
"OR393169.1",5
"OR393171.1",5
"PQ727629.1",1
"OK422494.1",5
"OR134842.1",5
"MG972412.1",4
"ON152411.1",1
"PX499192.1",3
"MN072625.1",3
"OR134838.1",5
"OQ253256.1",1
"PP065789.1",5
"KX576657.1",3
"PQ682461.1",1
"MZ577075.1",1
"OR347835.1",1
"OM793608.1",4
"SRR26747396_SRR26747397_Merged",5
"OR983152.1",5
"MT137384.1",2
"PP886238.1",2
"SRR27563732",5
"SRR28085237",5
"OR644284.1",5
"OQ200493.1",1
"OM105589.1",1
"SRR27563723",5
"OR735987.1",1
"SRR27563735",5
"OM530217.1",4
"AY077832.1",2
"OR134843.1",5
"PV796583.1",1
"OQ253251.1",1
"PQ727631.1",1
"ON961657.1",2
"KX764643.1",4
"SRR26747382_SRR26747381_Merged",5
"OQ267778.1",1
"OQ253250.1",1
"MT130502.2",5
"KX764645.1",4
"KX894508.1",5
"PQ727633.1",1
"MN642592.1",5
"SRR27563734",5
"MW020570.1",3
"NC_004003.1",3
"OQ253253.1",1
"OQ434238.1",2
"OR134841.1",5
"KX683219.1",5
"MW355944.1",1
