genome_id,cluster,continent,country,recombination_status
SRR28085235,5,Africa,Ethiopia,No_major_recombination
MW656253.1,5,Africa,South Africa,No_major_recombination
PP894832.1,1,Asia,China,Ancestral_recombinant
SRR26747388_SRR26747389_Merged,5,Europe,Greece,No_major_recombination
PQ510117.1,5,Asia,India,No_major_recombination
SRR11470182,5,Europe,Kazakhstan,No_major_recombination
OM793605.1,4,Africa,South Africa,Ancestral_recombinant
OM793606.1,4,Africa,South Africa,Ancestral_recombinant
SRR27563724,5,Asia,Sri Lanka,No_major_recombination
OR134839.1,5,Europe,Greece,No_major_recombination
OR134849.1,5,Europe,Serbia,No_major_recombination
MN636838.1,4,Africa,South Africa,Ancestral_recombinant
OQ588787.1,5,Asia,India,No_major_recombination
AF409137.1,5,Africa,South Africa,No_major_recombination
OQ427097.1,5,Asia,India,No_major_recombination
ON010590.1,5,Europe,Kazakhstan,No_major_recombination
PQ878211.1,5,Asia,Bhutan,No_major_recombination
MT643825.1,5,Europe,Bulgaria,No_major_recombination
AY077834.1,2,Europe,Russia,No_major_recombination
SRR26747384_SRR26747383_Merged,5,Europe,North Macedonia,No_major_recombination
PQ014465.1,2,Europe,Kazakhstan,No_major_recombination
PP886237.1,2,Europe,Greece,No_major_recombination
OM803092.1,1,Asia,China,Ancestral_recombinant
MK441838.1,4,Africa,South Africa,Ancestral_recombinant
SRR26747366_SRR26747367_Merged,5,Europe,Albania,No_major_recombination
MZ577073.1,1,Asia,Viet Nam,Ancestral_recombinant
OR134847.1,5,Europe,Serbia,No_major_recombination
MN072631.1,2,Asia,Turkey,No_major_recombination
PQ727627.1,1,Europe,Russia,Ancestral_recombinant
OR134834.1,5,Europe,Albania,No_major_recombination
PQ472736.1,5,Asia,India,No_major_recombination
OM793602.1,1,Europe,Russia,Ancestral_recombinant
OR983147.1,5,Asia,India,No_major_recombination
OR134835.1,5,Europe,Albania,No_major_recombination
SRR26792425,5,Asia,China,No_major_recombination
OQ434237.1,2,Europe,Russia,No_major_recombination
PV022135.1,5,Asia,Bangladesh,No_major_recombination
SRR28085240,1,Asia,Sri Lanka,Ancestral_recombinant
MH646674.1,4,Europe,Russia,Ancestral_recombinant
SRR12021190,5,Africa,Namibia,No_major_recombination
SRR27563725,5,Africa,Ethiopia,No_major_recombination
AY077835.1,3,Europe,Kazakhstan,No_major_recombination
SRR26747364_SRR26747365_Merged,5,Europe,Albania,No_major_recombination
MN072620.1,3,Asia,India,No_major_recombination
PX127681.1,5,Asia,Viet Nam,No_major_recombination
OM033705.1,1,Asia,Thailand,Ancestral_recombinant
OR393172.1,5,Asia,India,No_major_recombination
MT134042.1,4,Europe,Russia,Independent_recombinant
PQ727626.1,1,Europe,Russia,Ancestral_recombinant
OR232413.1,1,Asia,Indonesia,Ancestral_recombinant
OR520147.1,5,Asia,India,No_major_recombination
MN072628.1,2,Africa,Nigeria,No_major_recombination
SRR27563728,5,Africa,Ethiopia,No_major_recombination
PV066182.1,5,Asia,Bangladesh,No_major_recombination
MN636842.1,4,Africa,South Africa,Ancestral_recombinant
PV835012.1,5,Asia,India,No_major_recombination
PQ037207.1,1,Asia,Indonesia,Ancestral_recombinant
MN072626.1,2,Asia,Iraq,No_major_recombination
AY077833.1,2,Europe,Kazakhstan,No_major_recombination
OM793609.1,4,Africa,South Africa,Ancestral_recombinant
MW167070.1,2,Asia,India,No_major_recombination
PQ727628.1,1,Europe,Russia,Ancestral_recombinant
OQ253252.1,1,Asia,Thailand,Ancestral_recombinant
SRR25461328,5,Asia,India,No_major_recombination
PP145892.1,1,Asia,Malaysia,Ancestral_recombinant
OR347837.1,1,Asia,Thailand,Ancestral_recombinant
KT438550.1,2,Asia,China,No_major_recombination
SRR28085239,5,Africa,Cameroon,No_major_recombination
OK422492.1,5,Asia,India,No_major_recombination
PP886236.1,2,Europe,Greece,No_major_recombination
SRR26747387_SRR26747376_Merged,5,Europe,Albania,No_major_recombination
PQ179265.1,5,Asia,Bangladesh,No_major_recombination
SRR21590382,5,Asia,India,No_major_recombination
SRR28085241,1,Asia,Jordan,Ancestral_recombinant
SRR24474207,5,Asia,India,No_major_recombination
