Orthogroup,n_seq,n_codons,uniq_nt,uniq_aa,poly_nt_sites,poly_aa_sites
OG0000057,240,661,18,11,26,8
OG0000058,240,1156,19,9,58,11
OG0000059,240,164,7,6,16,8
OG0000060,237,381,15,13,28,7
OG0000061,240,211,12,9,8,5
OG0000062,240,89,1,1,0,0
OG0000063,240,161,6,4,10,5
OG0000064,239,101,4,4,1,1
OG0000065,240,176,9,7,13,10
OG0000066,235,321,6,4,12,4
OG0000067,239,89,11,10,9,4
OG0000068,239,118,9,8,5,5
OG0000069,240,216,6,3,14,3
OG0000070,238,447,10,6,13,3
OG0000071,240,640,15,12,21,7
OG0000072,237,370,16,7,17,4
OG0000073,240,49,5,4,2,1
OG0000074,239,145,4,3,3,1
OG0000075,237,104,5,3,9,3
OG0000083,239,635,11,8,15,5
OG0000084,239,150,6,2,6,1
OG0000085,240,75,4,4,2,1
OG0000086,238,161,5,4,7,2
OG0000087,239,172,12,10,9,4
OG0000088,240,375,11,7,14,3
OG0000089,240,714,20,16,38,10
OG0000090,240,292,7,2,7,1
OG0000091,237,78,7,1,5,0
OG0000092,237,905,15,6,27,2
OG0000093,239,317,7,6,13,4
OG0000094,239,190,14,11,14,7
OG0000095,240,74,2,2,0,0
OG0000096,235,95,4,2,4,0
OG0000097,238,95,4,4,3,2
OG0000098,240,377,16,12,29,8
OG0000099,240,196,6,3,3,1
OG0000100,237,480,13,10,23,8
OG0000101,237,74,5,2,3,0
OG0000102,239,430,11,10,9,3
OG0000103,240,179,5,4,14,7
OG0000104,240,149,5,4,8,2
OG0000105,239,140,5,4,6,2
OG0000106,240,303,11,6,14,4
OG0000107,239,74,1,1,0,0
OG0000108,237,41,1,1,0,0
OG0000109,239,256,6,4,5,0
OG0000110,239,215,13,9,12,6
OG0000111,240,171,4,3,8,2
OG0000112,240,191,6,3,3,1
OG0000113,240,288,7,3,9,2
OG0000114,239,181,13,10,17,6
OG0000115,239,123,12,5,13,7
OG0000116,239,171,11,6,52,21
OG0000117,240,560,19,15,45,11
OG0000118,239,361,11,9,28,11
OG0000119,240,335,7,5,17,5
OG0000120,240,217,6,6,7,6
OG0000121,240,305,11,8,15,5
OG0000122,240,240,13,12,22,14
OG0000123,239,231,9,9,11,3
