Orthogroup,n_annotated,product,product_agreement_pct,n_distinct_products,gene,COG
OG0000057,283,LSDV094 putative virion core protein [Lumpy skin disease virus NI-2490],92.9,2,,
OG0000058,283,LSDV116 RNA polymerase subunit [Lumpy skin disease virus NI-2490],92.9,2,,
OG0000059,283,LAP/PHD finger-like protein [Lumpy skin disease virus NI-2490],92.9,2,,
OG0000060,283,G protein-coupled chemokine receptor-like protein [Lumpy skin disease virus NI-2490],92.9,2,,
OG0000061,283,ankyrin repeat protein [Lumpy skin disease virus NI-2490],92.9,2,,
OG0000062,283,EIF2a-like PKR inhibitor [Lumpy skin disease virus NI-2490],92.9,2,,
OG0000063,283,IL-18 binding protein [Lumpy skin disease virus NI-2490],92.9,2,,
OG0000064,283,LSDV016 EGF-like growth factor [Lumpy skin disease virus NI-2490],92.9,2,,
OG0000065,283,anti-apoptotic membrane protein [Lumpy skin disease virus NI-2490],92.9,2,,
OG0000066,283,LSDV020 ribonucleotide reductase small subunit [Lumpy skin disease virus NI-2490],92.9,2,,
OG0000067,283,hypothetical protein LSDVgp021 [Lumpy skin disease virus NI-2490],92.9,2,,
OG0000068,283,hypothetical protein LSDVgp022 [Lumpy skin disease virus NI-2490],92.9,2,,
OG0000069,283,S-S bond formation pathway protein [Lumpy skin disease virus NI-2490],92.9,2,,
OG0000070,283,Ser/Thr kinase [Lumpy skin disease virus NI-2490],92.9,2,,
OG0000071,283,EEV maturation protein [Lumpy skin disease virus NI-2490],92.9,2,,
OG0000072,283,palmytilated EEV membrane glycoprotein [Lumpy skin disease virus NI-2490],92.9,2,,
OG0000073,283,hypothetical protein,100.0,1,,
OG0000074,283,hypothetical protein LSDVgp029 [Lumpy skin disease virus NI-2490],92.9,2,,
OG0000075,283,DNA-binding virion core protein [Lumpy skin disease virus NI-2490],92.9,2,,
OG0000083,283,LSDV084 putative early transcription factor small subunit [Lumpy skin disease virus NI-2490],92.9,2,,
OG0000084,283,late transcription factor VLTF-2 [Lumpy skin disease virus NI-2490],92.9,2,,
OG0000085,283,LSDV093 hypothetical protein [Lumpy skin disease virus NI-2490],92.9,2,,
OG0000086,283,virion core protein [Lumpy skin disease virus NI-2490],92.9,2,,
OG0000087,283,LSDV096 RNA polymerase subunit [Lumpy skin disease virus NI-2490],92.9,2,,
OG0000088,283,LSDV097 hypothetical protein [Lumpy skin disease virus NI-2490],92.9,2,,
OG0000089,283,LSDV098 putative early transcription factor large subunit [Lumpy skin disease virus NI-2490],92.9,2,,
OG0000090,283,LSDV099 putative intermediate transcription factor subunit [Lumpy skin disease virus NI-2490],92.9,2,,
OG0000091,283,LSDV100 putative IMV membrane protein [Lumpy skin disease virus NI-2490],92.9,2,,
OG0000092,283,LSDV101 putative virion core protein [Lumpy skin disease virus NI-2490],92.9,2,,
OG0000093,283,LSDV102 hypothetical protein [Lumpy skin disease virus NI-2490],92.9,2,,
OG0000094,283,LSDV103 putative virion core protein [Lumpy skin disease virus NI-2490],92.9,2,,
