genome,length,n_contigs,source
SRR21590382,2590076,1321,SRA
OR393177.1,150619,1,GenBank
MN072620.1,150381,1,GenBank
SRR29762742,9725826,3383,SRA
PQ727633.1,150653,1,GenBank
PQ727627.1,150406,1,GenBank
OR134837.1,150316,1,GenBank
SRR27563729,168040,11,SRA
OP297402.1,150969,1,GenBank
PV877838.1,151091,1,GenBank
MZ577073.1,150665,1,GenBank
PP145891.1,145887,1,GenBank
AF409138.1,150509,1,GenBank
PX127683.1,146160,1,GenBank
OM984486.1,150592,1,GenBank
PQ727630.1,150393,1,GenBank
NC_004002.1,149955,1,GenBank
OR393171.1,150773,1,GenBank
OM793606.1,150370,1,GenBank
KX764644.1,150529,1,GenBank
SRR26747368_SRR26747369_Merged,154807,14,SRA
OQ434239.1,149661,1,GenBank
OM793607.1,150508,1,GenBank
PQ727631.1,150889,1,GenBank
MN072626.1,148584,1,GenBank
PP843160.1,149972,1,GenBank
MN636840.1,150396,1,GenBank
OR134833.1,150317,1,GenBank
PQ472736.1,150581,1,GenBank
PQ727628.1,150394,1,GenBank
SRR26747394_SRR26747395_Merged,151345,8,SRA
SRR28085238,162809,10,SRA
OR134839.1,150317,1,GenBank
MN636839.1,150398,1,GenBank
SRR21590386,1794359,875,SRA
OQ253250.1,150653,1,GenBank
MN072629.1,150046,1,GenBank
ON010590.1,145838,1,GenBank
OQ434237.1,149662,1,GenBank
OR393167.1,150606,1,GenBank
SRR34490579,463521,328,SRA
ON152411.1,150602,1,GenBank
MN636843.1,150396,1,GenBank
PQ824705.1,150639,1,GenBank
OR347837.1,150856,1,GenBank
OR134841.1,150317,1,GenBank
OK422494.1,139051,1,GenBank
MH893760.2,150751,1,GenBank
MW435866.1,150682,1,GenBank
OR134849.1,150317,1,GenBank
MH381810.1,147959,1,GenBank
OR983147.1,150617,1,GenBank
NC_003027.1,150773,1,GenBank
MW167070.1,150369,1,GenBank
MZ577074.1,150599,1,GenBank
PQ510117.1,150774,1,GenBank
OR644284.1,150335,1,GenBank
SRR28085239,179078,13,SRA
OR393169.1,150774,1,GenBank
KX576657.1,148146,1,GenBank
PV835012.1,150683,1,GenBank
MN636838.1,150396,1,GenBank
OR983146.1,150598,1,GenBank
SRR28085235,167515,8,SRA
PQ179265.1,150793,1,GenBank
ON961656.1,149640,1,GenBank
PQ824704.1,150677,1,GenBank
OR134847.1,150316,1,GenBank
MH646674.1,150606,1,GenBank
PQ510118.1,150774,1,GenBank
OR393174.1,150776,1,GenBank
OQ606832.1,150763,1,GenBank
OR983148.1,150602,1,GenBank
OR134836.1,150316,1,GenBank
MN636841.1,150396,1,GenBank
MT134042.1,150436,1,GenBank
SRR26747398_SRR26747399_Merged,155598,14,SRA
OQ267778.1,150689,1,GenBank
AY077834.1,149662,1,GenBank
SRR26747390_SRR26747391_Merged,150456,6,SRA
PV796583.1,151016,1,GenBank
SRR25461324,1068024,312,SRA
SRR27563731,185149,20,SRA
SRR11470182,151414,14,SRA
OQ434238.1,149660,1,GenBank
PP979138.1,151036,1,GenBank
OR347835.1,150854,1,GenBank
PP053747.1,145931,1,GenBank
SRR15145277_SRR15145278_Merged,156799,18,SRA
OR797612.1,150470,1,GenBank
MT992618.1,145865,1,GenBank
PP886239.1,149973,1,GenBank
MN642592.1,150485,1,GenBank
KX894508.1,150562,1,GenBank
PQ727632.1,150633,1,GenBank
OL542833.1,150338,1,GenBank
KX683219.1,150663,1,GenBank
SRR15145279_SRR15145280_Merged,150338,6,SRA
OL752713.2,150822,1,GenBank
OR134838.1,150317,1,GenBank
OQ253254.1,150689,1,GenBank
OR134844.1,150317,1,GenBank
KX764645.1,150508,1,GenBank
SRR26792425,148184,2,SRA
OQ253252.1,150688,1,GenBank
PQ824707.1,150673,1,GenBank
MN072621.1,150358,1,GenBank
OP688129.1,150775,1,GenBank
PQ014465.1,149830,1,GenBank
OR239060.1,150491,1,GenBank
OR134835.1,150317,1,GenBank
MW656253.1,150335,1,GenBank
PQ727626.1,150460,1,GenBank
OR347836.1,150856,1,GenBank
KY702007.1,150661,1,GenBank
SRR27563732,166353,22,SRA
SRR25046328,156888,14,SRA
OM793603.1,150209,1,GenBank
OM793609.1,150508,1,GenBank
SRR15145275_SRR15145276_Merged,150795,5,SRA
OK422493.1,147681,1,GenBank
PQ727629.1,150394,1,GenBank
PP886238.1,149956,1,GenBank
OR134846.1,150317,1,GenBank
PX499192.1,150206,1,GenBank
OQ588787.1,150611,1,GenBank
MZ577075.1,150600,1,GenBank
SRR26747364_SRR26747365_Merged,148158,2,SRA
SRR28085240,171713,12,SRA
OR134834.1,150317,1,GenBank
OM984485.1,150641,1,GenBank
KC951854.1,150194,1,GenBank
PQ824703.1,150497,1,GenBank
KT438551.1,150194,1,GenBank
OQ555660.1,151411,1,GenBank
OQ253253.1,150689,1,GenBank
OM793605.1,150507,1,GenBank
MN072625.1,150458,1,GenBank
OR232414.1,151009,1,GenBank
MN072627.1,148707,1,GenBank
OP688128.1,150773,1,GenBank
AY077835.1,149599,1,GenBank
OM373209.1,150873,1,GenBank
MZ577076.1,150664,1,GenBank
MW883897.1,150655,1,GenBank
PV434148.1,149955,1,GenBank
SRR28085237,166478,6,SRA
PQ727625.1,150434,1,GenBank
OR644283.1,150329,1,GenBank
MN072630.1,150166,1,GenBank
OR983150.1,150599,1,GenBank
SRR12021191,213397,63,SRA
AY077836.1,149723,1,GenBank
OR863389.1,150774,1,GenBank
PQ005629.1,150771,1,GenBank
MT137384.1,150103,1,GenBank
SRR28085241,171380,12,SRA
MW656252.1,150300,1,GenBank
OR393170.1,150774,1,GenBank
PP145892.1,145886,1,GenBank
OQ200493.1,150689,1,GenBank
SRR24474207,964498,444,SRA
PP886237.1,149978,1,GenBank
KT438550.1,150200,1,GenBank
KY829023.3,150681,1,GenBank
SRR26747396_SRR26747397_Merged,152640,10,SRA
OR134842.1,150315,1,GenBank
MW020570.1,150578,1,GenBank
OR134845.1,150317,1,GenBank
NC_004003.1,149599,1,GenBank
SRR27563723,148765,3,SRA
SRR25461327,167398,16,SRA
ON961657.1,149641,1,GenBank
OQ253251.1,150689,1,GenBank
AY077832.1,149955,1,GenBank
PQ201927.1,150797,1,GenBank
MN995838.1,150721,1,GenBank
OQ511520.1,150812,1,GenBank
PX497580.1,150342,1,GenBank
OR232413.1,151010,1,GenBank
SRR26747366_SRR26747367_Merged,150291,6,SRA
PV167793.1,149955,1,GenBank
SRR27563735,148393,3,SRA
OK318001.1,150681,1,GenBank
AF325528.1,150773,1,GenBank
ON005067.1,148628,1,GenBank
SRR27563727,188512,23,SRA
MW732649.1,150513,1,GenBank
MK441838.1,150507,1,GenBank
PQ824706.1,150670,1,GenBank
KX764643.1,150480,1,GenBank
SRR27563725,182259,14,SRA
MW699032.1,150344,1,GenBank
PQ037207.1,150689,1,GenBank
OP985536.1,150644,1,GenBank
SRR27563730,164045,12,SRA
OM105589.1,150697,1,GenBank
SRR26747388_SRR26747389_Merged,169305,38,SRA
OR393175.1,150773,1,GenBank
MN072623.1,150404,1,GenBank
SRR26283950,7773304,4403,SRA
PX127681.1,146144,1,GenBank
PP746705.1,150526,1,GenBank
SRR27563728,170725,8,SRA
OP922506.1,150726,1,GenBank
OP752701.1,150776,1,GenBank
